#query_sequence	candidate_DB_seqs(outliers)	candidate_DB_seqs_qualifying_percent_identity_cutoff	query_unrelated2DB	score_of_cut
OTU_97.19643	CP012801.2258604.2260119;CP012801.1646789.1648308;ACCH01000108.3638.5148;AB510698.1.1473;LTDF01000031.344.1854;LT223636.1.1486;BAKL01000173.25.1526;FQZN01000072.3615.5141;AB574481.1.1484;AB574479.1.1484;ABJL02000008.3336138.3337648;ABJL02000006.58.1568;ABJL02000008.1460783.1462293;ABJL02000007.1225076.1226586;AB214329.1.1484;AB214328.1.1484;ADLF01000024.399775.401286;LF650927.1.1485;AB547644.1.1485;EU136691.1.1995;BABG01002699.21.1524;AJ583247.1.1437;AJ583245.1.1410;AB490803.1.1476;AJ583248.1.1428;AJ583246.1.1439;JX006301.1.1414;JX006268.1.1412;JX006298.1.1409;JX006266.1.1407;AJ583243.1.1426;JX006353.1.1419;JX006294.1.1418	NA	NA	431.11859312762954
OTU_97.1966	JX424765.1.1474;FBYB01000006.1397107.1398611;AB916501.1.1486;LARL01000139.98.1602;AB916502.1.1486;AY538684.1.1491;AB443949.1.1486;EU728723.1.1495;AB443948.1.1484;FLSM01000009.1293944.1295446;FAVK01000008.42.1545;JPIT01000001.10.1536;LT631520.1.1446	NA	NA	228.88428222287985
OTU_97.1967	BAAX01000131.813.2303;LQ500123.51.1533;LQ500131.1.1474;X85022.1.1499;BAAY01002722.335.1825;AJ413954.1.1462;BAAX01000042.422.1912;BAAX01000205.681.2171;HQ457025.1.1483;BABD01001073.183.1673;BABG01001611.30.1520;BAAX01000694.431.1921;BAAU01000686.2038.3530;BAAV01000571.2640.4130;BABA01001765.248.1738;CYGL01005916.57.1552;BAAY01001326.446.1936;BABG01000051.2348.3838;BABA01001556.422.1912;BAAY01001463.1184.2674;BAAY01000303.996.2486;LQ500117.1.1474;LQ500116.1.1474;BABG01000480.1321.2811;EU728783.1.1433;JN713314.1.1504	NA	NA	765.8376895115962
OTU_97.19675	AJPU01000034.127207.128725;AJPU01000037.18517.20035;AB238928.1.1492;AB238929.1.1492;EU136685.1.2023;FTLH01000001.1658518.1660028;AGZQ01000033.8984.10498;AGZQ01000017.129.1643;AGZP01000036.3707.5225;ABYH01000014.137.1655;AB261128.1.1492;GEEG01002153.1.1395;CP000140.2138973.2140467;CP000140.2872534.2874028;CP000140.416000.417494;CP000140.142361.143857;CP000140.4787729.4789225;EU136681.1.1911;M86695.1.1539;AB238923.1.1486	NA	NA	272.9336262654033
OTU_97.1968	FR733672.1.1521;AF202258.1.1391;ADLR01000157.173.1691;AF202259.1.1525;MJIG01000007.13282.14822;MJIG01000012.221.1761;MJIG01000003.216170.217710;MJIG01000006.46414.47954	NA	NA	2.5310150976656587
OTU_97.19681	CP001071.989916.991420;CP001071.1459761.1461265;CP001071.320473.321977;CP015409.1960463.1961978;AY271254.1.1433;LTZM01000016.4044.5543;LT629973.1172287.1173788;LT629973.2430275.2431776	NA	NA	109.55048205854268
OTU_97.19749	HZ485108.9.1517;LN907744.1.1483;AE015928.4983424.4984906;AE015928.2340709.2342191;CP012937.5517779.5519304;AE015928.3328965.3330446;AE015928.3034714.3036195;EU136679.1.1995;CVOZ01000063.228971.230480;CXSE01001446.1371.2879;M58763.1.1482;CDPR01001386.177.1686;FQXY01000005.366.1875;AB510710.1.1461;AB050109.1.1426;L16489.1.1475	NA	NA	191.795579901549
OTU_97.1975	AB443949.1.1486;FBYB01000006.1397107.1398611;AY538684.1.1491;AB916501.1.1486;JX424765.1.1474;EU728723.1.1495;LARL01000139.98.1602;AB916502.1.1486;AB443948.1.1484;FLSM01000009.1293944.1295446;FAVK01000008.42.1545;JPIT01000001.10.1536	NA	NA	226.15026899735676
OTU_97.19753	CP000139.4430477.4431986;ADKO01000087.185.1693;AB510712.1.1489;EU136687.1.1985;CP000139.647842.649351;CP000139.2587720.2589229;CP000139.2095441.2096950;CP000139.346743.348252;AGXZ01000020.342567.344082;ASSN01000031.1609.3124;CP000139.2183533.2185042;LG103726.1.1507;LG085034.1.1507;LF135380.1.1507;HZ485127.1.1507;AJ867050.1.1476;CP000139.4743140.4744649;CS600343.12.1518;M58762.1.1533;AJ867044.1.1475;AJ867042.1.1475;AJ867043.1.1457;KP944149.1.1433;AB050111.1.1397;JQ607246.1.1418;JQ607451.1.1421;JQ607271.1.1416;JQ606944.1.1418;JQ607149.1.1411;JQ607257.1.1414;JQ606920.1.1421;JQ607114.1.1418;JQ607305.1.1446;JQ607625.1.1415;CP008741.391903.393445;ABWZ01000093.3557.5076;JQ607294.1.1425;CP007619.4541152.4542694;CP007619.2713921.2715463;CP009057.2296841.2298384;CP008741.698758.700300;CP008741.4470567.4472116;CP007619.4881337.4882879;CP007619.3821131.3822673;CP008741.2205585.2207127;CP007619.4433201.4434743;CP007619.2423834.2425376;CP008741.2118731.2120273;CP007619.663681.665223;AB242142.1.1493;AB242143.1.1490;JQ607243.1.1431;JQ607429.1.1424;CP008741.2636685.2638227;JX006258.1.1422;JX048110.1.1435;JX006390.1.1422;JX048138.1.1422;JX006397.1.1422;CP009057.4969468.4971009;JX048287.1.1404;JQ607431.1.1420	NA	NA	1385.581742884262
OTU_97.19802	CZBZ01000002.727652.729157;AJ518872.1.1414;LARG01000025.1.1402;CCIZ01000013.190076.191585;ARFY01000032.606843.608350;ARFY01000017.91797.93304;AB554231.1.1489;LG084852.1.1439;AY974071.1.1440;AJWZ01008598.7.1523;KP297842.1.1452;AY643082.1.1451;EU728719.1.1444;CP003274.119147.120561;AY643083.1.1446;AY538696.1.1466;AY547271.1.1466;FP929032.881290.882801;HZ484947.1.1504;AB554230.1.1487;AB554233.1.1486;ABFK02000017.223676.225190;ABFK02000016.619821.621335;AB554232.1.1488;CP003274.2181216.2182629;AJ518874.1.1465;AY974072.1.1433;AY643084.1.1446;L16497.1.1468;FCNT01000097.14.1527;CAHA01000059.20.1541;CAEG01000022.14.1521;FKYL01000005.1805440.1806947;LT223566.1.1491;CZBH01000001.999036.1000544;LARG01000024.765.2171;ADLD01000012.328.1844;AB600999.1.1490;JRGF01000044.3.1537;FNWB01000008.1278584.1280092;LT598563.1.1492;AB490804.1.1482	NA	NA	947.9480116913892
OTU_97.1984	AGXF01000001.587.2103;LG084988.1.1506;HZ485081.1.1506;EU136686.1.1972;AB510697.1.1478;X83951.1.1422	NA	NA	43.079145562207486
OTU_97.19856	CXSE01001446.1371.2879;CZBI01000005.3650.5158;HZ485108.9.1517;LN907744.1.1483;AE015928.4983424.4984906;AE015928.2340709.2342191;AGDG01000041.493.2001;CZAE01000003.99809.101321;CP012937.5517779.5519304;AE015928.3328965.3330446;AE015928.3034714.3036195	NA	NA	58.82096266830831
OTU_97.19857	ABFK02000017.223676.225190;ABFK02000016.619821.621335;AB554232.1.1488;L16497.1.1468;FCNT01000097.14.1527;LARG01000025.1.1402;AY538696.1.1466;AY547271.1.1466;EU728719.1.1444;CP003274.119147.120561;AY643083.1.1446;CZBZ01000002.727652.729157;AJ518872.1.1414;AJWZ01008598.7.1523;ADLD01000012.328.1844;FP929032.881290.882801;HZ484947.1.1504;AB600999.1.1490;AB554233.1.1486;AY974072.1.1433;AB554230.1.1487;AB490804.1.1482;CP003274.2181216.2182629;CAHA01000059.20.1541;AY643084.1.1446;AJ518874.1.1465;CAEG01000022.14.1521;CZBH01000001.999036.1000544;CCIZ01000013.190076.191585;LG084852.1.1439;ARFY01000032.606843.608350;ARFY01000017.91797.93304;AB554231.1.1489;AY974071.1.1440;FKYL01000005.1805440.1806947;LT223566.1.1491;KP297842.1.1452;AY643082.1.1451;FNWB01000008.1278584.1280092;JRGF01000044.3.1537;LT598563.1.1492;LARG01000024.765.2171	NA	NA	708.2686370222546
OTU_97.19886	AGDG01000041.493.2001;CZAE01000003.99809.101321;AB547640.1.1475;GQ496623.1.1463;GQ496624.1.1458	NA	NA	13.872318598582751
OTU_97.1989	FTLH01000001.1658518.1660028;AWUX01000007.243.1760;AY126616.1.1493;JRAT01000012.147849.149387;CP015402.2294917.2296466;AQHY01000028.339.1856;KR822455.1.1480;GU324396.1.1489;GU324378.1.1476;AJPU01000034.127207.128725;AJPU01000037.18517.20035;CP015402.3112266.3113814;AB547656.1.1451;AB238929.1.1492;AB238928.1.1492;EU136696.1.1944	NA	NA	38.74108938572499
OTU_97.19893	EU728757.1.1485;AJWZ01002193.94.1618;AB244773.1.1493;AB244771.1.1493;AB244770.1.1491;ACBX02000014.1230.2749;AB649279.1.1493;AB244772.1.1493;AB064923.1.1494;ACBX02000017.22857.24376;EU728712.1.1486;ACBX02000025.1.1217;CBXK010002068.363.1874;LT722678.1.1454;EU728740.1.1484;EU728752.1.1491;EU728732.1.1487	NA	NA	329.69690039468696
OTU_97.19895	AGZQ01000033.8984.10498;AGZQ01000017.129.1643;AJPU01000034.127207.128725;AJPU01000037.18517.20035;AB238928.1.1492;AB238929.1.1492;EU136685.1.2023;FTLH01000001.1658518.1660028;AGZP01000036.3707.5225;ABYH01000014.137.1655;AB261128.1.1492;GEEG01002153.1.1395;CP000140.2138973.2140467;CP000140.2872534.2874028;CP000140.416000.417494;AB238923.1.1486;ACUB01000068.1.1400;LARL01000150.1.1396;JNHQ01000190.1.1357;AB238927.1.1486;AB238925.1.1486;AB238926.1.1486;EU728708.1.1478;JNHQ01000184.8.1440;AB238924.1.1486;M86695.1.1539;CP000140.142361.143857;CP000140.4787729.4789225;EU136681.1.1911;BAAZ01000703.1371.2875;CZAR01000037.27480.28953;KR364782.1.1484;FNVS01000030.3615.5146;LT223609.1.1490;AB574482.1.1489;BABA01001649.892.2396;CDRH01001199.128.1633;LT558809.1.2930;AB238922.1.1488;CP000140.3411907.3413403;CP000140.3253636.3255132;AGZO01000005.452.1966;AB739697.1.1442;AGES01000009.1340374.1341888;AGZO01000011.369833.371347;AGZO01000045.56609.58123;ASSQ01000020.1189752.1191266;ASSQ01000028.98117.99631;ASSQ01000025.293398.294912;AGES01000002.1517833.1519347;AQFV01000011.277632.279146;AQFV01000015.300695.302209;HW066513.1.1490;EU136697.1.2002;LC033797.1.1486;AGES01000014.73256.74770;AB470343.1.1485;AB470344.1.1487;AB117561.1.1493;LT725663.1.1450;AB547650.1.1476;KX462878.1.1423;EU728718.1.1446;FQSE01000007.1631802.1633308;HQ122961.1.1394;FJ799161.1.1470;FUFV01000048.87.1597;KP944197.1.1431;DQ677015.1.1505;LC033805.1.1630;FJ799120.1.1498;AF357554.1.1448;LZEK01000004.127788.129330;FJ862827.1.1521;JN029805.1.1481;HQ020488.1.1502;DQ676993.1.1505;AY949860.1.1520;JQ607238.1.1426;KR822455.1.1480;EF184292.1.1459;JPZV01230878.3063.4573	NA	NA	1432.7901490725417
OTU_97.19925	LT558848.1.1494;FJ625862.7160.8682;BAAZ01001521.295.1804;BAGW01000037.287.1796;FJ625861.27324.28847;LT598592.1.1493;EU728724.1.1426;AP012044.1864519.1866052;AP012044.1260691.1262224;AP012044.420887.422420;LF652028.9.1518;LG104800.9.1518;LF134422.9.1518;HZ486081.9.1518;HW313920.1.1483;HW798623.1.1493;ASTC01000037.211.1727;LF623612.1.1491;LF623590.4.1475;HW798611.1.1495;HW798599.4.1475;HW313926.4.1475;HW313948.1.1491;LF623579.1.1491;HW798619.1.1493;HW798588.1.1491;AB702937.1.1496;AB040497.1.1450	NA	NA	453.3644382834227
OTU_97.19949	HZ485108.9.1517;LN907744.1.1483;AE015928.4983424.4984906;AE015928.2340709.2342191;CP012937.5517779.5519304;AE015928.3328965.3330446;AE015928.3034714.3036195;EU136679.1.1995;CVOZ01000063.228971.230480;CXSE01001446.1371.2879;M58763.1.1482;AB510710.1.1461;AB050109.1.1426;CZBI01000005.3650.5158;L16489.1.1475;KP944123.1.1436;AY319395.1.1449;AGDG01000041.493.2001;CZAE01000003.99809.101321;JX006625.1.1415;JQ607157.1.1414;KP944119.1.1432;JX006697.1.1410;JQ606901.1.1421;JX006297.1.1423;JQ606972.1.1418;JQ607082.1.1425;JQ607032.1.1412;JQ606959.1.1417;JQ607143.1.1401;JQ607043.1.1414;JQ608299.1.1419;JQ606910.1.1424;JQ606976.1.1418;JQ607066.1.1428;JQ607060.1.1412;JQ606983.1.1424;JQ606892.1.1428;AB547640.1.1475;JQ607127.1.1359;JQ608257.1.1414;JQ607067.1.1417;JQ606939.1.1420;GQ496624.1.1458;GQ496623.1.1463;JQ607099.1.1411;JX048256.1.1388	NA	NA	420.2263673232146
OTU_97.19954	AB554230.1.1487;CP003274.2181216.2182629;AY643084.1.1446;EU728719.1.1444;AJ518874.1.1465;CP003274.119147.120561;LARG01000025.1.1402;AY643083.1.1446;AJWZ01008598.7.1523;CZBZ01000002.727652.729157;FP929032.881290.882801;HZ484947.1.1504;AB554233.1.1486;FCNT01000097.14.1527;CCIZ01000013.190076.191585;ARFY01000032.606843.608350;ARFY01000017.91797.93304;AB554231.1.1489;AY974072.1.1433;AJ518872.1.1414;LG084852.1.1439;AY974071.1.1440;AY538696.1.1466;AY547271.1.1466;ABFK02000017.223676.225190;ABFK02000016.619821.621335;AB554232.1.1488;CAEG01000022.14.1521;CAHA01000059.20.1541;KP297842.1.1452;AY643082.1.1451;L16497.1.1468;FKYL01000005.1805440.1806947;LT223566.1.1491;CZBH01000001.999036.1000544;ADLD01000012.328.1844;AB600999.1.1490;AJ518876.1.1339;LARG01000024.765.2171;AB490804.1.1482;JRGF01000044.3.1537;FNWB01000008.1278584.1280092;LT598563.1.1492	NA	NA	993.5664668994523
OTU_97.19955	LARF01000079.1.1498;LARF01000076.2386.3883;EU266549.1.1452;FMUV01000065.209.1620;EU728796.1.1488;DQ057453.1.1460	NA	NA	36.22028878992205
OTU_97.19973	NA	None	OTU_97.19973	5.236894277043149
OTU_97.19991	AJ270474.1.1508;BABG01001111.245.1757;CYYR01000011.927.2431;AB661436.1.1494;EU728794.1.1457;AJ270473.1.1454;FR749935.1.1522;LG085496.1.1509;HZ485589.1.1509;EU728765.1.1490;MJHW01000008.255583.257125;MJHW01000007.2914.4456;FR749946.1.1524;LG085490.1.1509;HZ485583.1.1509;EU728761.1.1478	NA	NA	5.276571311851512
OTU_97.20011	HZ485132.1.1509;ADMP01000058.91.1599;BABG01004725.10.1478;AB510713.1.1465;KR364742.1.1467;DQ057457.1.1451;AGXT01000041.79243.80759;LT622246.247875.249393	NA	NA	33.660339480498806
OTU_97.20019	CR626927.4600342.4601874;CR626927.3205531.3207063;CR626927.3854670.3856202;CR626927.4658273.4659805;CR626927.5128421.5129953;CR626927.4413866.4415398;AB510701.1.1490;AGXR01000010.53918.55434;FQ312004.4708749.4710281;FQ312004.3243020.3244552;FQ312004.4494006.4495538;FQ312004.4649498.4651030;HZ485092.14.1522;AP006841.5195504.5197040;AP006841.3144323.3145859;CP011073.3048810.3050349;CP011073.4641052.4642591;CP011073.5118647.5120186;CP011073.4581959.4583498;CP008741.4730397.4731935;AB542764.1.1490;BAAY01002565.3.1472;FQ312004.3903056.3904588;HZ485111.10.1518;AP006841.4527043.4528579;AP006841.4735744.4737280;AP006841.4676388.4677924;CP011073.3796953.3798492;JGEE01000017.1.1346;AP006841.3947850.3949386;CP011073.4368909.4370448;EU136678.1.2011;CXUA01000435.247.1755;LIDU01000040.1773.3294;AB050106.1.1404;AF133539.1.1479;CDQP01001253.198.1702;FQ312004.5291501.5293033;DJ391424.1.1491;JMZZ02000202.12.1551;X83935.1.1436;KT006898.1.1465;DQ057475.1.1459;LC033793.1.1491;AGXQ01000025.88.1604;AGXQ01000010.543.2059;AGXQ01000036.155358.156874;JPHS01000172.225.1764;GU968174.1.1492;DQ057447.1.1455;DQ057448.1.1455;EU722742.1.1459;DQ057442.1.1459;DQ057444.1.1460;DQ057445.1.1465;KP944137.1.1430;KP944143.1.1441;HM007585.1.1335;KP944133.1.1437;KP944135.1.1430;KP944141.1.1428;KP944142.1.1435;JQ607793.1.1408;JQ608285.1.1422;JX006264.1.1422;KP944126.1.1427;KP944130.1.1431;JQ607750.1.1414;KP944125.1.1437;KP944131.1.1433;KP188833.1.1378;KP944129.1.1399	NA	NA	1133.6277541822055
OTU_97.20020	FQXV01000034.14.1409;GU324364.1.1471;JQ599692.1.1483;JQ599653.1.1483;Z49863.1.1506	NA	NA	8.494869715073946
OTU_97.20029	FJ802333.1.1218;FJ269072.1.1480;ACVX01000081.60.1580;AB588017.1.1489;CP002416.497122.498637;CP002416.3544459.3545974;CP000568.3427593.3429113;CP016502.684386.685901;AB558166.1.1489;CP002416.747703.749218;CP002416.684465.685980;CP000568.3599368.3600888;CP000568.3665491.3667011;CP000568.2816913.2818433	NA	NA	142.45311179213877
OTU_97.20068	BAAX01000042.422.1912;BABA01001765.248.1738;LQ500117.1.1474;LQ500116.1.1474;BAAU01000686.2038.3530;BAAY01001326.446.1936;BABG01001611.30.1520;BAAX01000205.681.2171;LQ500131.1.1474;BABG01000480.1321.2811;BAAX01000131.813.2303;BAAY01000303.996.2486;LQ500123.51.1533;BABA01001556.422.1912;AJ413954.1.1462;X85022.1.1499;BABD01001073.183.1673;BAAY01002722.335.1825;BAAX01000694.431.1921;HQ457025.1.1483;CYGL01005916.57.1552;BAAV01000571.2640.4130;BABG01000051.2348.3838;BAAY01001463.1184.2674;JN713314.1.1504;EU728783.1.1433;AY169430.1.1474;EU728786.1.1477;DQ057482.1.1450;LN846908.1.1491;FAUK01000014.218606.220097;DQ057481.1.1439;DQ057467.1.1475	NA	NA	730.7953363686283
OTU_97.20091	LT576387.1.1491;JN688032.1.1445;JN713204.1.1516;FJ269072.1.1480;JN713190.1.1519;AJ229249.1.1418;HQ222286.1.1544;ACXX02000011.96414.97923;KU950271.1.1446;JQ670700.1.1489;CP003259.4601376.4602779;CP003259.926330.927733;ATAY01000084.171.1631;Y15986.1.1453;JN713426.1.1485;JN713385.1.1516;CP003259.1812520.1813923;CP003259.475944.477347;CP003259.4512559.4513962;CP003259.1500298.1501701	NA	NA	192.93744312740455
OTU_97.20135	ACIM02000001.828416.829972;ACIM02000001.564708.566263;AB626632.1.1530;ACIM02000001.1245177.1246733;GU401492.1.1493;AF287787.1.1541;JN713211.1.1560;AY162469.1.1524	NA	NA	159.98864154287003
OTU_97.20148	BAAX01000042.422.1912;BABD01001073.183.1673;BAAX01000694.431.1921;BAAX01000205.681.2171;JN713314.1.1504;BABA01001765.248.1738;LQ500116.1.1474;BAAU01000686.2038.3530;BAAY01002722.335.1825;CYGL01005916.57.1552;BABG01000051.2348.3838;BAAY01001463.1184.2674;LQ500131.1.1474;LQ500117.1.1474;BAAY01001326.446.1936;BABG01001611.30.1520;LQ500123.51.1533	NA	NA	379.4574027085346
OTU_97.20152	LARI01000033.555.2050;LAQZ01000049.1994.3490;FIZH01000015.305.1824;AB622826.1.1517;FXLN01000003.3572.5070;FXLN01000003.742202.743700;CP015400.1820588.1822127;CP015400.1209305.1210844;AY949858.1.1511;AB622825.1.1524;AB622827.1.1519;KM454168.1.1525;AB622828.1.1520;FJ805840.1.1445;FNLI01000001.906.2398;MBSV01000087.92.1617;KT935669.1.1461;BAAV01000064.898.2410;JMMA01000002.1983613.1985105;DQ168656.1.1435;LT725660.1.1435;X81653.1.1489;JN713314.1.1504;FMIZ01000005.450.1954;FMIZ01000006.769456.770960;FMIZ01000007.451.1955;FMIZ01000005.383348.384852;FMIZ01000004.105628.107132;AB239487.1.1487;LN866995.1.1482;CP020705.2051671.2053189;CP020705.653886.655404	NA	NA	306.40496910204183
OTU_97.20153	CELP01000805.3695.5201;CZAF01000001.556013.557519;CZAC01000044.999.2505;CZAO01000004.122192.123698;CYYO01000004.82756.84262;CYZB01000007.3612.5118;CZAD01000019.36461.37967;EU136680.1.2019;BAAU01000536.1575.3081;CYZF01000001.433278.434784;ASSO01000012.330141.331655;AB050110.1.1425;AB510711.1.1477	NA	NA	175.66073101088386
OTU_97.20174	BAAX01000205.681.2171;BAAX01000042.422.1912;BAAU01000686.2038.3530;BABA01001765.248.1738;BAAY01001326.446.1936;BABG01001611.30.1520;LQ500123.51.1533;LQ500116.1.1474;LQ500131.1.1474;LQ500117.1.1474;X85022.1.1499;AJ413954.1.1462;BABD01001073.183.1673;BAAX01000131.813.2303;BAAY01002722.335.1825;BAAX01000694.431.1921;BABA01001556.422.1912;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;CYGL01005916.57.1552;HQ457025.1.1483;BAAV01000571.2640.4130;BAAY01001463.1184.2674;EU728783.1.1433;JN713314.1.1504;AY169430.1.1474;CBXK010002535.1192.2697;EU728786.1.1477;DQ057482.1.1450;FAUK01000014.218606.220097;LN846908.1.1491;DQ057467.1.1475	NA	NA	720.8866493785226
OTU_97.20180	CP001104.15561.17079;BAAZ01003957.403.1825;CP001104.413153.414672;CP001104.872242.873760;CP001104.697435.698953;L34420.1.1479;BAAV01003125.60.1537;CP001104.2029863.2031381	NA	NA	40.26347823517244
OTU_97.20196	CELP01000805.3695.5201;CZAF01000001.556013.557519;CZAC01000044.999.2505;CZAO01000004.122192.123698;CYYO01000004.82756.84262;CYZB01000007.3612.5118;EU136680.1.2019;CZAD01000019.36461.37967;BAAU01000536.1575.3081;CYZF01000001.433278.434784;AB510711.1.1477;AB050110.1.1425;ASSO01000012.330141.331655	NA	NA	144.90292743957252
OTU_97.20198	BAAZ01000703.1371.2875;BABA01001649.892.2396;CZAR01000037.27480.28953;KR364782.1.1484;CDRH01001199.128.1633;AB238924.1.1486;AB238927.1.1486;AB238923.1.1486;AB238926.1.1486;AB238922.1.1488;LC033797.1.1486;CP000140.3411907.3413403;CP000140.3253636.3255132;ACUB01000068.1.1400;LARL01000150.1.1396;JNHQ01000190.1.1357;AB238925.1.1486;JNHQ01000184.8.1440;EU728708.1.1478;AB117561.1.1493;CP000140.142361.143857;CP000140.4787729.4789225;EU136681.1.1911;CP000140.2138973.2140467;CP000140.2872534.2874028;CP000140.416000.417494;M86695.1.1539;JQ606916.1.1417;JQ606931.1.1418;KP944197.1.1431	NA	NA	621.60766368845
OTU_97.20214	ACIM02000001.828416.829972;GU401492.1.1493;ACIM02000001.564708.566263;AB626632.1.1530;AY162469.1.1524;ACIM02000001.1245177.1246733;AF287787.1.1541;JN713211.1.1560;AF481210.1.1524	NA	NA	147.59832789235588
OTU_97.20215	CP000139.4430477.4431986;ADKO01000087.185.1693;AB510712.1.1489;EU136687.1.1985;CP000139.647842.649351;CP000139.2587720.2589229;CP000139.2095441.2096950;CP000139.346743.348252;AGXZ01000020.342567.344082;ASSN01000031.1609.3124;LG103726.1.1507;LG085034.1.1507;LF135380.1.1507;HZ485127.1.1507;CP000139.2183533.2185042;AJ867050.1.1476;CP000139.4743140.4744649;CS600343.12.1518;M58762.1.1533;AJ867044.1.1475;AJ867042.1.1475;AJ867043.1.1457;KP944149.1.1433;AB050111.1.1397;JQ607246.1.1418;JQ607451.1.1421;JQ607271.1.1416;CP008741.391903.393445;JQ606944.1.1418;JQ607149.1.1411;JQ607257.1.1414;ABWZ01000093.3557.5076;JQ606920.1.1421;JQ607114.1.1418;JQ607305.1.1446;CP007619.4541152.4542694;CP007619.2713921.2715463;CP009057.2296841.2298384;CP008741.698758.700300;CP008741.4470567.4472116;CP007619.4881337.4882879;CP007619.3821131.3822673;CP008741.2205585.2207127;CP007619.4433201.4434743;CP007619.2423834.2425376;CP008741.2118731.2120273;CP007619.663681.665223;AB242142.1.1493;AB242143.1.1490;JQ607625.1.1415;CP008741.2636685.2638227;JQ607294.1.1425;JQ607243.1.1431;JQ607429.1.1424;JX006258.1.1422;JX048138.1.1422;JX048110.1.1435;JX006390.1.1422;JX006397.1.1422;CP009057.4969468.4971009;JX048287.1.1404;JQ607431.1.1420	NA	NA	1350.3729103809765
OTU_97.20242	BABA01001765.248.1738;LQ500116.1.1474;BAAX01000042.422.1912;BAAU01000686.2038.3530;LQ500117.1.1474;BAAY01001326.446.1936;BAAX01000205.681.2171;LQ500131.1.1474;BABG01000480.1321.2811;BABG01001611.30.1520;LQ500123.51.1533;BAAX01000131.813.2303;BAAY01000303.996.2486;BAAV01000571.2640.4130;BABA01001556.422.1912;X85022.1.1499;BABD01001073.183.1673;BABG01000051.2348.3838;BAAY01002722.335.1825;BAAX01000694.431.1921;AJ413954.1.1462;CYGL01005916.57.1552;BAAY01001463.1184.2674;JN713314.1.1504;HQ457025.1.1483;EU728783.1.1433;AY169430.1.1474;EU728786.1.1477;CBXK010002535.1192.2697;DQ057482.1.1450;FAUK01000014.218606.220097;LN846908.1.1491;DQ057481.1.1439;DQ057467.1.1475	NA	NA	730.6929584921418
OTU_97.20251	AJ270474.1.1508;BABG01001111.245.1757;AJ270473.1.1454;AB661436.1.1494;CYYR01000011.927.2431;MJHW01000007.2914.4456;MJHW01000011.2914.4456;MJHW01000008.255583.257125;MJHW01000010.137401.138943;MJHW01000015.411.1953;MJHW01000006.25639.27181	NA	NA	39.29159636847544
OTU_97.20325	AJWZ01002193.94.1618;AB244773.1.1493;AB244771.1.1493;ACBX02000017.22857.24376;AB244770.1.1491;AB244772.1.1493;ACBX02000014.1230.2749;AB649279.1.1493;AB064923.1.1494;EU728712.1.1486;EU728757.1.1485;ACBX02000025.1.1217;CBXK010002068.363.1874;EU728740.1.1484;EU728752.1.1491;LT722678.1.1454;EU728732.1.1487	NA	NA	330.8812588437995
OTU_97.20328	CCIZ01000013.190076.191585;ARFY01000032.606843.608350;ARFY01000017.91797.93304;AB554231.1.1489;CZBZ01000002.727652.729157;LG084852.1.1439;AY974071.1.1440;AJ518872.1.1414;KP297842.1.1452;AY643082.1.1451;AJWZ01008598.7.1523;LARG01000025.1.1402;AY538696.1.1466;AY547271.1.1466;CP003274.119147.120561;FP929032.881290.882801;HZ484947.1.1504;EU728719.1.1444;AB554233.1.1486;CP003274.2181216.2182629;AB554230.1.1487;AY974072.1.1433;AY643083.1.1446;ABFK02000017.223676.225190;ABFK02000016.619821.621335;AB554232.1.1488;AY643084.1.1446;FCNT01000097.14.1527;CAEG01000022.14.1521;AJ518874.1.1465;L16497.1.1468;FKYL01000005.1805440.1806947;LT223566.1.1491;CAHA01000059.20.1541;CZBH01000001.999036.1000544;AJ518876.1.1339;LARG01000024.765.2171;ADLD01000012.328.1844;AB600999.1.1490;FNWB01000008.1278584.1280092;JRGF01000044.3.1537;LT598563.1.1492;AB490804.1.1482	NA	NA	1016.6721351740525
OTU_97.20344	FJ799122.1.1529;AJPU01000034.127207.128725;AJPU01000037.18517.20035;AB238929.1.1492;AB238928.1.1492	NA	NA	35.06538829270494
OTU_97.20362	BAAV01000571.2640.4130;BAAY01001326.446.1936;BAAY01002722.335.1825;BAAU01000686.2038.3530;CYGL01005916.57.1552;BABG01001611.30.1520;BAAX01000205.681.2171;LQ500117.1.1474;BABD01001073.183.1673;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001765.248.1738;BAAX01000131.813.2303;BABA01001556.422.1912;BABG01000051.2348.3838;BAAY01001463.1184.2674;LQ500116.1.1474;X85022.1.1499;BABG01000480.1321.2811;BAAY01000303.996.2486;LQ500123.51.1533;AJ413954.1.1462;HQ457025.1.1483;LQ500131.1.1474;EU728783.1.1433;JN713314.1.1504;AY169430.1.1474;DQ057482.1.1450;DQ057481.1.1439;EU728786.1.1477	NA	NA	825.4997235440214
OTU_97.20368	AJWZ01002193.94.1618;ACBX02000014.1230.2749;AB649279.1.1493;AB244772.1.1493;AB244773.1.1493;AB244771.1.1493;AB064923.1.1494;AB244770.1.1491;ACBX02000017.22857.24376;EU728757.1.1485;EU728712.1.1486;ACBX02000025.1.1217;CBXK010002068.363.1874;EU728740.1.1484;EU728752.1.1491;LT722678.1.1454;EU728732.1.1487	NA	NA	310.521108300356
