#db_sequence	partition_number
KC545926.1.1473	33
KC429781.1.1381	33
HM218357.1.1427	33
KC545929.1.1480	33
KC545883.1.1481	33
CP000419.66812.68354	33
AEVI01000085.3378.4913	33
GU175444.1.1493	33
CP002888.2124185.2125720	33
HQ721259.1.1484	33
CP010999.65434.66969	33
CP016394.749178.750713	33
JN561296.1.1391	33
HQ721249.1.1483	33
AF432136.1.1523	33
CP000024.129070.130617	33
HQ721248.1.1485	33
HQ721261.1.1474	33
HQ662528.1.1469	33
FJ154801.1.1470	33
M58839.1.1552	33
CP020451.1216394.1217948	33
CP000023.358373.359920	33
CP020438.675337.676891	33
KT021870.1.1497	33
HQ721263.1.1476	33
JQ680313.1.1396	33
EU694138.1.1460	33
KC545922.1.1482	33
CP000023.129043.130590	33
KU324908.1.1207	33
CP011217.147027.148569	33
KC545904.1.1490	33
CP013216.1911996.1913556	33
KF286609.1.1482	33
CP000419.146827.148369	33
KY003111.1.1207	33
CP002340.351170.352723	33
HQ721251.1.1477	33
LXIN01000147.2.1346	33
CP000023.1612153.1613700	33
CP000024.352152.353699	33
CP015282.1706206.1707760	33
EU660206.1.1531	33
CP006819.318753.320299	33
ALIF01000001.141909.143456	33
LC061147.1.1421	33
KC545918.1.1454	33
CP009913.63397.64951	33
CP020431.1848430.1849984	33
FR875178.167212.168747	33
FR875178.1731239.1732774	33
KM257682.1.1473	33
AEKO01000004.2732.4270	33
CP011217.1672807.1674349	33
CP011217.67012.68554	33
AYSG01000002.292.2076	33
CP000024.17814.19361	33
JQ680301.1.1399	33
CP003499.65558.67093	33
CP011217.359719.361261	33
AY687383.1.1512	33
CP012588.1727655.1729209	33
CP010999.17773.19308	33
CP000024.65582.67129	33
HM058318.1.1462	33
LC061614.1.1517	33
HM058506.1.1466	33
KC545934.1.1508	33
FR873482.66026.67561	33
ALIF01000006.436078.437605	33
JQ680297.1.1395	33
CP020438.609404.610958	33
CP011217.141221.142763	33
HM058255.1.1464	33
AY188354.1.1539	33
ALIF01000001.14963.16504	33
CP000023.66799.68346	33
CP014144.2136694.2138248	33
CP010999.1648515.1650050	33
FR873482.130961.132496	33
HM058475.1.1465	33
CP002888.2013573.2015109	33
ALIF01000006.631019.632560	33
DQ911624.1.1513	33
CP009913.14954.16508	33
LM611903.1.1457	33
CP006819.255435.256981	33
HQ662529.1.1458	33
CP002888.190090.191625	33
BCMY01000192.1.1528	33
FR873482.338038.339573	33
CP000419.1665743.1667285	33
AY188353.1.1538	33
KC545882.1.1494	33
KU324914.1.1231	33
CP000419.141021.142563	33
CP003499.346151.347686	33
CP016439.842698.844252	33
CP006819.207775.209321	33
CP020431.2168479.2170033	33
KC545919.1.1482	33
X68418.1.1542	33
FR873481.68484.70019	33
FR873482.2011806.2013341	33
FR873481.14959.16494	33
HG423865.1.1462	33
JX006780.1.1369	33
ABJL02000007.1225076.1226586	34
JX006353.1.1419	35
JX006301.1.1414	35
JQ607235.1.1410	36
AY895180.1.1374	36
ABJL02000006.58.1568	34
LTDF01000031.344.1854	34
AB574479.1.1484	35
ABJL02000008.3336138.3337648	34
LF135391.1.1361	36
JX006286.1.1415	36
CP012801.2258604.2260119	34
AB214329.1.1484	34
JX006266.1.1407	35
JQ607831.1.1423	36
BABG01002699.21.1524	34
AJ583246.1.1439	34
JX006298.1.1409	35
JX006296.1.1414	36
AB490803.1.1476	35
LT223636.1.1486	34
ADLF01000024.399775.401286	35
AJ583248.1.1428	34
ABJL02000008.1460783.1462293	34
EU136691.1.1995	34
JQ608199.1.1408	36
JQ607229.1.1412	36
LV534878.1.1361	36
JQ608224.1.1419	36
AJ583245.1.1410	35
CP012801.1646789.1648308	34
LF650927.1.1485	35
JX006294.1.1418	35
AB510698.1.1473	34
FQZN01000072.3615.5141	35
BAKL01000173.25.1526	35
HZ485138.1.1361	36
AB547644.1.1485	35
AJ583243.1.1426	35
JQ607823.1.1426	36
AB214328.1.1484	34
JX006268.1.1412	35
AB574481.1.1484	35
ACCH01000108.3638.5148	34
AJ583247.1.1437	34
AB238598.1.1453	37
AP012044.1260691.1262224	37
LF134422.9.1518	37
AP012044.1864519.1866052	37
LG104800.9.1518	37
ASTC01000037.211.1727	37
LF652028.9.1518	37
AP012044.420887.422420	37
HZ486081.9.1518	37
AB547651.1.1480	38
AB331896.1.1483	38
AFBP01000029.162.1691	39
AB370250.1.1494	39
AB547647.1.1481	40
AB370251.1.1484	40
ADLE01000017.1593.3112	40
AB916501.1.1486	41
JX424765.1.1474	41
AY538684.1.1491	41
LARL01000139.98.1602	41
FBYB01000006.1397107.1398611	41
EU728723.1.1495	42
AB916502.1.1486	41
AB443949.1.1486	42
AB490804.1.1482	43
AB600999.1.1490	43
ADLD01000012.328.1844	43
ADMC01000038.27513.29026	44
AB490805.1.1478	44
AB547648.1.1487	44
LG104876.1.1449	45
AB490811.1.1610	45
LV536017.1.1449	45
JN713316.1.1543	45
HW161115.1.1611	45
AB510697.1.1478	46
X83951.1.1422	46
AGXF01000001.587.2103	46
HZ485081.1.1506	46
LG084988.1.1506	46
EU136686.1.1972	46
AGXS01000026.294285.295795	47
AY608697.1.1413	47
AB510704.1.1473	47
EU136693.1.2184	47
AQHX01000010.665280.666790	48
AQHX01000020.1891.3401	48
AQHX01000008.421436.422946	48
EU136690.1.2033	48
AY608696.1.1419	48
AB510707.1.1473	48
BAJL01000058.3711.5213	48
AQHX01000018.1891.3401	48
LN998085.1.1474	49
CS600359.1.1435	49
X75907.1.1467	49
M59102.1.1460	49
AB627079.1.1476	49
CYZW01000001.720410.721904	49
AB536771.1.1476	49
X73445.1.1511	49
AVNC01000018.144581.146069	50
DQ445861.1.1248	50
KT633854.1.1464	50
ABEZ02000012.1768.3258	50
FR749984.1.1495	50
AVNC01000008.12097.13590	50
AVNC01000006.134293.135772	50
BDJI01000002.222506.223987	50
AF320283.1.1488	50
FJTZ01000012.200280.201763	50
DQ445859.1.1238	50
DQ445863.1.1295	50
LN846800.1.1490	50
AVNC01000004.30820.32309	50
AVNB01000002.10196.11683	50
AVNC01000016.578.2065	50
KC517358.1.1476	50
ABEZ02000014.123.1613	50
ABEZ02000015.506.1996	50
AVNC01000011.46614.47926	50
AB618787.1.1463	50
AB601079.1.1475	50
AB610575.1.1461	50
AVNB01000007.18922.20412	50
AY438672.1.1429	50
AVNC01000001.4068.5557	50
AB538434.1.1463	50
LN998075.1.1456	50
LT223654.1.1465	50
ABEZ02000021.84162.85652	50
DQ445860.1.1280	50
GU561412.1.1445	51
AY995758.1.1459	52
AF439641.1.1400	52
AEXI01000017.39.1552	52
AY995753.1.1459	52
ACIK02000004.641603.643153	52
JQ680195.1.1377	52
JQ680181.1.1417	52
ACIK02000004.1283.2833	52
KU321270.1.1486	52
DQ003631.1.1486	51
JQ680327.1.1401	52
HM007566.1.1345	52
JQ680139.1.1392	52
LG105393.1.1354	52
AF439640.1.1409	52
JQ680318.1.1397	52
LSDO01000062.22.1559	52
JN695647.1.1441	52
AY995755.1.1460	52
CP001820.722770.724320	52
AZYX01000006.79.1591	52
JN695646.1.1434	52
LF135009.1.1389	52
JQ680173.1.1413	52
ADFU01000009.53.1567	52
AY995768.1.1498	52
AY995766.1.1459	52
AY995770.1.1498	52
JQ680326.1.1395	52
KU550132.1.1515	52
X84005.1.1513	52
KP944174.1.1466	52
AF287782.1.1485	52
JQ607441.1.1448	51
JQ680144.1.1391	51
JQ680335.1.1396	52
LV536534.1.1354	52
JQ680142.1.1393	52
LF135015.1.1354	52
X84006.1.1513	52
AY995763.1.1459	52
JQ680325.1.1397	52
GQ422725.1.1539	52
AY995769.1.1500	52
HQ616381.1.1405	52
GU413690.1.1212	51
AMEX01000022.25.1575	52
AY995754.1.1459	52
AY995761.1.1459	52
AF287781.1.1484	52
AB679111.1.1500	51
AY995759.1.1460	52
LF137047.1.1354	52
CP020566.1518578.1520146	52
AY953257.1.1551	52
EU728725.1.1470	52
X84007.1.1513	52
HQ616396.1.1464	52
AY923144.1.1571	52
JX048346.1.1448	52
CP001820.1572261.1573812	52
AB679110.1.1514	52
AY995760.1.1460	52
ACIK02000021.64.1614	52
AY995757.1.1459	52
JQ607586.1.1445	52
EF185168.1.1497	52
AY355140.1.1402	51
AB679109.1.1520	52
JQ680320.1.1398	52
AY995764.1.1459	52
GU406115.1.1485	52
AY995765.1.1459	52
JN695642.1.1426	52
JQ680138.1.1394	52
AY995752.1.1459	52
AB679112.1.1519	52
CP001820.103635.105185	52
GU574206.1.1443	52
CP020566.560560.562128	52
JQ680328.1.1413	52
AY995762.1.1459	52
AB538437.1.1524	52
JN695641.1.1427	52
AY995751.1.1459	52
GU561411.1.1451	52
AF439639.1.1375	52
AY995767.1.1497	52
EF185167.1.1497	52
BBDV01000045.70.1641	51
LOJO01000005.3693.5261	52
CP001820.579094.580644	52
JN695640.1.1446	52
JQ680136.1.1391	52
CP002544.2203321.2204832	53
CP002544.1477119.1478630	53
CP002544.2531255.2532766	53
L16496.1.1467	53
CP002544.2310357.2311868	53
AB547649.1.1485	53
AJVZ01000001.43924.45432	54
AJVZ01000012.335780.337288	54
AB547673.1.1490	54
KP944198.1.1435	54
AJVZ01000014.101467.102975	54
JN867270.1.1553	54
AB547674.1.1479	54
AJVZ01000011.66937.68447	54
JRNF01000130.37.1576	54
L16475.1.1471	54
JRNQ01000038.142.1681	54
CP003274.2181216.2182629	55
HZ484947.1.1504	56
AY643083.1.1446	55
ARFY01000017.91797.93304	57
FCNT01000097.14.1527	58
L16497.1.1468	58
AB554232.1.1488	58
AY974072.1.1433	56
FP929032.881290.882801	56
AY538696.1.1466	56
CZBZ01000002.727652.729157	57
AJWZ01008598.7.1523	55
AJ518874.1.1465	55
ARFY01000032.606843.608350	57
AJ518872.1.1414	57
EU728719.1.1444	55
AY974071.1.1440	57
LARG01000025.1.1402	55
ABFK02000016.619821.621335	58
CAHA01000059.20.1541	58
CP003274.119147.120561	55
ABFK02000017.223676.225190	58
CCIZ01000013.190076.191585	57
AY643082.1.1451	57
AB554230.1.1487	55
AB554233.1.1486	56
KP297842.1.1452	57
AY547271.1.1466	56
AY643084.1.1446	55
AB554231.1.1489	57
LG084852.1.1439	57
AB595128.1.1488	59
M23731.1.1480	59
AY699288.1.1524	59
ABFX02000008.225014.226528	59
X73440.1.1526	59
HZ485368.8.1515	59
FNMT01000008.61648.63013	60
JN381505.1.1466	60
JMMB01000008.5751.7235	60
M59107.1.1510	60
FJTZ01000010.121179.122661	60
LN555523.2288351.2289843	60
AB596881.1.1466	60
EU887828.1.1449	60
LN998079.1.1468	60
LN881606.1.1466	60
FJTZ01000012.11975.13329	60
FJTZ01000006.387.1869	60
AY162469.1.1524	61
JN713211.1.1560	61
AY134907.1.1554	61
ACIM02000001.1245177.1246733	61
ACIM02000001.828416.829972	61
GU401492.1.1493	61
ACIM02000001.564708.566263	61
AB626632.1.1530	61
AF287787.1.1541	61
AYJP01000030.3867.5385	62
AB702936.1.1497	62
AB702938.1.1497	62
AYJP01000025.476.1994	62
KC311367.1.1475	62
MJII01000001.3039866.3041405	62
AYJP01000005.456678.458196	62
CP013476.575138.576663	63
KR422351.1.1495	63
AF349724.1.1508	63
AB727348.1.1509	63
CP013476.1312130.1313651	63
ABIK02000003.44069.45469	64
FOIN01000080.104.1634	64
X75908.1.1388	64
ABIK02000013.103269.104574	64
Y18188.1.1489	64
AB818948.1.1486	64
X73441.1.1519	64
AB910744.1.1488	64
LG085238.1.1472	65
CP004121.6226852.6228352	66
CP004121.6437713.6439213	66
LAQZ01000051.1902.3397	65
LN908213.6162831.6164330	66
CP004121.802658.804158	66
AB971795.1.1477	65
LZZM01000091.64.1562	66
CP004121.5763217.5764717	66
CP004121.149180.150680	66
FJ384390.1.1420	65
Y18176.1.1472	65
HZ485331.1.1472	65
CP004121.6236066.6237566	66
CP004121.5788910.5790410	66
ABCA03000019.5787.7283	67
LN907768.1.1454	67
FP929059.2595678.2597174	67
ABCA03000037.60092.61588	67
L34625.1.1453	67
ABCA03000043.85213.86709	67
ABCA03000054.109907.111403	67
LG085297.7.1519	68
FP929061.44196.45716	68
JF412658.1.1434	68
JYFK01000107.53.1565	68
CYXY01000021.54922.56434	68
CP012098.9903.11443	69
LF136122.10.1522	68
LV535609.10.1522	68
CP012098.1923901.1925441	68
BABG01000037.405.1917	68
CZAU01000010.430.1942	68
CP012098.2252006.2253546	68
FR749932.1.1616	68
HZ485590.1.1509	68
CP012098.1469166.1470706	68
FR749933.1.1618	68
CYXT01000032.32257.33769	68
CP012098.3166784.3168324	69
CP012098.1525.3045	69
FR749934.1.1515	69
CYYH01000005.2109.3621	68
ABGC03000041.222.1742	68
HZ485390.7.1519	68
LF134090.10.1522	68
AJ308104.1.1370	70
ABGD02000032.3011.4523	70
AJ315980.1.1393	70
ABGD02000021.1868.3380	70
ABGD02000031.941.2453	70
X89981.1.1473	71
ABWN01000012.312.1822	71
LF135522.9.1511	71
FR733670.1.1511	71
LF133490.9.1511	71
BAAV01003213.549.2063	72
ABYT01000002.2079.3606	72
M59230.1.1487	72
BAAX01009387.130.1378	72
EU728795.1.1416	72
HZ486083.9.1519	73
ACDQ01000020.3988.5498	73
U49757.1.1488	73
ACDP02000005.388.1906	73
U49758.1.1481	73
U49751.1.1497	73
U49752.1.1498	73
CP019430.2275484.2277024	73
U49756.1.1491	73
U49754.1.1507	73
LF136456.9.1519	73
HG917902.1.1504	73
CP019430.2369902.2371442	73
U49750.1.1505	73
U49749.1.1499	73
CP018787.2373496.2375006	73
LV535943.9.1519	73
ACFX02000046.4117.5635	74
AY305309.1.1453	74
LG085292.8.1518	74
AY305314.1.1444	74
HZ485385.8.1518	74
LT799971.1.1494	74
KM360180.1.1492	74
AEXK01000007.98.1663	75
AEHN01000009.189.1754	75
Y16329.1.1539	75
ADHG01000001.652476.654027	75
ACLN01000018.105.1663	75
AZET01000021.2453.4003	75
AEPX01000015.105.1663	75
CCYG01000338.190.1701	76
MEHE01000012.135.1674	76
LN881600.1.1495	76
ACTP02000021.182566.184085	76
ACTP02000011.422074.423593	76
MEHB01000041.181.1720	76
AWST01000112.51.1570	76
ACTP02000009.47.1566	76
MCGH01000002.3508013.3509539	76
ADLQ01000114.174.1692	77
LG085311.10.1520	77
ADLR01000157.173.1691	77
BAID02000318.100.1610	77
AWSU01000084.23.1541	77
ACWK01000143.517.2035	77
FIZZ01000025.174.1684	77
CYZY01000014.78043.79553	77
M59112.1.1478	77
HZ485404.10.1520	77
ACWX01000068.1024.2540	78
JN703378.1.1490	78
LF652232.3.1385	79
AGCK01000014.389.1908	80
AY730663.1.1465	80
CP015406.1079531.1081069	80
AY730662.1.1484	80
CWHM01000069.3748.5259	80
LF651527.1.1465	80
ADDX02000003.990319.991837	79
Y18187.1.1550	80
AY136666.1.1483	79
BABA01006862.484.1995	80
AWSS01000025.3977.5496	80
LN998060.1.1495	79
AY724678.1.1465	80
EU541437.1.1486	80
EU874848.1.1460	80
LT598567.1.1494	79
GU968170.1.1471	80
CXRW01001441.343.1854	80
HQ452853.1.1464	79
JQ608065.1.1421	80
AF062492.1.1454	81
AJ251584.1.1414	81
CP000776.1447434.1448884	81
DQ174182.1.1339	81
CP000776.72272.73722	81
CP000776.411397.412847	81
AY721628.1.1491	82
AF192152.1.1542	82
EU980606.1.1538	83
X93146.1.1546	83
GQ503869.1.1513	83
AF192154.1.1542	83
GQ503791.1.1521	83
GQ503803.1.1515	83
CP001358.1490627.1492164	83
FJ815444.1.1424	83
JQ607383.1.1440	83
GQ503807.1.1516	83
KJ459860.1.1418	83
ATUZ01000009.3757.5286	83
CP001358.459161.460698	83
GQ503855.1.1515	83
JQ607812.1.1442	83
GQ503801.1.1503	83
HQ591418.1.1501	83
KJ459867.1.1441	83
GQ503788.1.1514	83
CP001358.2041424.2042961	83
AF192153.1.1542	83
KF601940.1.1447	83
HE576794.210779.212330	84
AY038994.1.1507	84
HE576794.683487.685038	84
HE576794.2473031.2474582	84
AY038993.1.1505	85
AF283705.1.1513	85
HE576794.532644.534195	84
HM990965.1.1566	84
U95027.1.1426	84
KT006903.1.1475	85
HE576794.1391947.1393498	84
JX424772.1.1519	85
AY038995.1.1506	84
JF709896.1.1433	84
HE576794.474375.475926	84
KC311757.1.1427	85
CP009240.83084.84652	85
HE576794.1029437.1030988	84
LG084742.1.1489	86
CP003058.391435.392923	86
HZ484835.1.1489	86
LF135089.1.1489	86
CP003058.15620.17108	86
LG103435.1.1489	86
LV534576.1.1489	86
AF473835.1.1439	86
LF133057.1.1489	86
CP003058.120458.121946	86
CRDM01000005.1059.2595	87
CKFN01000024.4833.6367	87
FN568063.173675.175212	87
FN568063.451370.452907	87
CRCS01000011.962.2495	87
CKGV01000033.4234.7508	87
AILI01000006.63214.64745	87
AGQK01000007.43670.45204	87
AILI01000007.201853.203386	87
CLDM01000143.7019.8501	87
CKVQ01000029.7020.8481	87
GEXI01097563.20.1513	87
CHHG01000027.24503.25998	87
CHQZ01000002.21165.22709	87
JVJI01000137.3357.4883	87
CKER01000071.1030.2278	87
CHHB01000054.1197.2732	87
CHVY01000081.3349.4883	87
CRKW01000011.6991.8524	87
CHRJ01000009.1030.2563	87
AIKH01000011.1538.3071	87
AILI01000004.769679.771209	87
CQZN01000034.1030.2571	87
CQXU01000003.53043.54578	87
CRBQ01000040.8559.10092	87
AICS01000067.3419.4876	87
FN568063.238757.240294	87
AJ011522.1.1414	88
CYYA01000009.1176.2688	88
LWLI01000001.299563.301073	89
LWLH01000014.4.1472	89
AJ270471.1.1484	89
EU728728.1.1421	89
LWLH01000003.2.1317	89
HZ485353.1.1505	90
LF651242.1.1505	90
AJ305238.1.1505	90
CYZE01000004.470365.471876	91
LG085249.1.1493	91
AY552788.1.1493	91
HZ485342.1.1493	91
EF408243.1.1494	91
BABF01000589.4109.5619	91
AJ311620.1.1431	91
BAAZ01002164.4.1476	91
BABD01001073.183.1673	92
DQ057476.1.1531	93
LQ500123.51.1533	92
EU728783.1.1433	92
BAAY01001326.446.1936	92
CYYL01000043.1.1232	93
LG086624.1.1349	93
BAAX01000131.813.2303	92
JN037416.1.1278	93
JN713314.1.1504	92
X85022.1.1499	92
DQ057482.1.1450	94
CYXN01000059.1.1287	93
AY169430.1.1474	94
LQ500118.2.1408	93
AJ413954.1.1462	92
BAAY01002722.335.1825	92
CBXK010002535.1192.2697	93
HQ457031.1.1308	93
BABG01000480.1321.2811	92
BABG01000051.2348.3838	92
BAAY01000303.996.2486	92
BAAX01000205.681.2171	92
LQ500130.1.1385	93
BAAV01000064.898.2410	93
HQ457025.1.1483	92
LQ500116.1.1474	92
BAAY01001463.1184.2674	92
LQ500131.1.1474	92
BAAV01000571.2640.4130	92
CYGL01005916.57.1552	92
BABG01001611.30.1520	92
BABA01001765.248.1738	92
BAAU01000686.2038.3530	92
LQ500117.1.1474	92
LQ500129.2.1400	93
EU728786.1.1477	94
BAAX01000694.431.1921	92
LQ500121.1.1405	93
BAAX01000042.422.1912	92
BABA01001556.422.1912	92
LT223566.1.1491	95
AJ518876.1.1339	95
FKYL01000005.1805440.1806947	95
CAEG01000022.14.1521	95
AJ566849.1.1455	96
JN664096.1.1401	97
L37785.1.1419	97
GU585669.1.1449	97
LT725662.1.1455	97
HM037997.1.1462	97
LT623892.1.1499	96
U82813.1.1467	98
AJ867049.1.1500	98
LBCK01000001.461645.463135	99
AWVF01000032.457.1953	99
L76596.1.1371	99
HZ485351.1.1497	100
AY033434.1.1497	100
HQ324121.1.1475	100
CP015409.1960463.1961978	101
CP001071.989916.991420	101
CP001071.320473.321977	101
LTZM01000016.4044.5543	101
AY271254.1.1433	101
CP001071.1459761.1461265	101
AY305318.1.1452	102
L34621.1.1479	102
CQ889264.1.1458	102
LARJ01000053.431.1762	102
CYYC01000009.526.2035	102
KF697956.1.1425	102
HZ485383.4.1502	103
CYXU01000014.314.1811	104
CYYZ01000009.85141.86638	104
CYYJ01000018.9997.11494	104
AY442828.1.1510	103
LV535229.1.1440	104
AY350746.1.1440	103
EF031543.1.1440	104
EU728735.1.1436	103
LF135742.1.1440	104
LG085290.4.1502	103
LG104088.1.1440	104
CYYE01000020.503.2000	104
D14148.1.1353	103
AY653232.1.1310	105
CAEN01000062.3382.4895	105
HZ405969.13.1425	105
L34618.1.1469	106
BCAB01000048.3508.5014	106
HZ485586.9.1470	106
LT558818.1.1689	107
FPLB01000012.419851.421366	107
CALK01000057.3384.4901	107
LT223581.1.1499	107
LT576390.1.1501	107
CVPG01000005.512571.514082	108
LF134085.2.1513	108
LF651691.2.1513	108
CVPG01000006.667384.668895	108
LG104463.2.1513	108
LFIL01000039.6.1547	108
LF136117.2.1513	108
HZ486358.1.1416	108
KT156811.1.1482	108
LV535604.2.1513	108
CYPV01000006.3613.5120	109
JTDA01000039.175.1712	109
EU266549.1.1452	110
FMUV01000065.209.1620	110
LARF01000079.1.1498	110
LARF01000076.2386.3883	110
EU728724.1.1426	111
LT558848.1.1494	111
FAUJ01000006.3367.4875	112
LN881596.1.1490	112
FAUJ01000008.3367.4875	112
FAUJ01000007.3367.4875	112
FNWB01000008.1278584.1280092	113
JRGF01000044.3.1537	113
LT598563.1.1492	113
FTRU01000003.3359.4854	114
LT598596.1.1479	114
HF545616.1595630.1597136	115
HF545616.164905.166411	115
HF545617.337862.339368	115
HF545616.962351.963857	115
LAQZ01000049.1994.3490	116
LARI01000033.555.2050	116
X72865.1.1511	117
X72867.1.1547	117
