#partition assignment criteria: Assign read to the parition(s) that exceeds the 0.5 proportion in the candidate (outlier) set (first_flag=False).
#read	db_seqs_in_winning_partitions	partition_num(winner)	partition_counts	candidate_db_seqs(outliers)	size_of_candidate_db_seqs_set
OTU_97.10619	NA	NA	58:6;55:9;56:6;57:10;95:3;43:3;147:1;113:3;148:1	ABFK02000017.223676.225190;ABFK02000016.619821.621335;AB554232.1.1488;L16497.1.1468;FCNT01000097.14.1527;LARG01000025.1.1402;AY538696.1.1466;AY547271.1.1466;CZBZ01000002.727652.729157;EU728719.1.1444;AJ518872.1.1414;CP003274.119147.120561;AY643083.1.1446;AJWZ01008598.7.1523;FP929032.881290.882801;HZ484947.1.1504;AB554233.1.1486;AY974072.1.1433;CAHA01000059.20.1541;AB554230.1.1487;CP003274.2181216.2182629;CAEG01000022.14.1521;AY643084.1.1446;AJ518874.1.1465;ADLD01000012.328.1844;AB600999.1.1490;CCIZ01000013.190076.191585;LG084852.1.1439;ARFY01000032.606843.608350;ARFY01000017.91797.93304;AB554231.1.1489;AY974071.1.1440;AB490804.1.1482;KP297842.1.1452;FKYL01000005.1805440.1806947;LT223566.1.1491;AY643082.1.1451;CZBH01000001.999036.1000544;FNWB01000008.1278584.1280092;JRGF01000044.3.1537;LARG01000024.765.2171;LT598563.1.1492	42
OTU_97.10630	JQ607243.1.1431;CP000139.346743.348252;AJ867043.1.1457;AB510712.1.1489;EU136687.1.1985;ASSN01000031.1609.3124;JQ607305.1.1446;JX048287.1.1404;JQ607114.1.1418;JQ607257.1.1414;JX006390.1.1422;JX006397.1.1422;AJ867044.1.1475;JQ606944.1.1418;JQ607246.1.1418;M58762.1.1533;CP000139.647842.649351;LG103726.1.1507;JQ607451.1.1421;LG085034.1.1507;JX048110.1.1435;AGXZ01000020.342567.344082;CP000139.2183533.2185042;JX006258.1.1422;CP000139.2587720.2589229;JQ606920.1.1421;CP000139.2095441.2096950;JQ607294.1.1425;CS600343.12.1518;JX048138.1.1422;AJ867050.1.1476;JQ607429.1.1424;LF135380.1.1507;ADKO01000087.185.1693;HZ485127.1.1507;KP944149.1.1433;CP000139.4743140.4744649;AJ867042.1.1475;CP000139.4430477.4431986;JQ607149.1.1411;JQ607625.1.1415;AB050111.1.1397;JQ607271.1.1416	25	25:43;26:19;329:1	AB510712.1.1489;EU136687.1.1985;CP000139.647842.649351;CP000139.2587720.2589229;CP000139.2095441.2096950;CP000139.346743.348252;ADKO01000087.185.1693;CP000139.4430477.4431986;AGXZ01000020.342567.344082;CP000139.2183533.2185042;AJ867050.1.1476;ASSN01000031.1609.3124;LG103726.1.1507;LG085034.1.1507;LF135380.1.1507;HZ485127.1.1507;CP000139.4743140.4744649;CS600343.12.1518;M58762.1.1533;AJ867042.1.1475;AB050111.1.1397;AJ867044.1.1475;KP944149.1.1433;AJ867043.1.1457;JQ607246.1.1418;JQ607257.1.1414;JQ606944.1.1418;JQ607451.1.1421;JQ607271.1.1416;JQ607149.1.1411;JQ607114.1.1418;JQ606920.1.1421;JQ607305.1.1446;JQ607243.1.1431;JQ607625.1.1415;JQ607294.1.1425;JX006258.1.1422;JQ607429.1.1424;CP008741.391903.393445;ABWZ01000093.3557.5076;CP007619.4541152.4542694;CP007619.2713921.2715463;CP009057.2296841.2298384;CP008741.698758.700300;CP008741.4470567.4472116;CP007619.4881337.4882879;CP007619.3821131.3822673;CP008741.2205585.2207127;CP007619.4433201.4434743;CP007619.2423834.2425376;CP008741.2118731.2120273;CP007619.663681.665223;AB242142.1.1493;AB242143.1.1490;JX006390.1.1422;JX048138.1.1422;CP008741.2636685.2638227;JX048110.1.1435;JX006397.1.1422;JX048287.1.1404;CP009057.4969468.4971009;JQ607431.1.1420;JQ607427.1.1421	63
OTU_97.1065	AY169411.1.1488;EF036467.1.1438;EU728791.1.1489;LG085094.1.1491;AY960563.1.1461;HZ485188.1.1468;ACII02000003.356829.358346;FQLI01000007.588420.589929;ACII02000003.441978.443495;HZ485187.1.1491;AY960566.1.1458;FLKC01000026.175.1601;LT631515.1.1452;FAVI01000008.1299692.1301201;AB691576.1.1481;LG085098.1.1481;LT714168.1.1432;FLKC01000014.123770.125280;HZ486356.2.1508;AB439724.1.1468;ACII02000003.48546.50064;HZ485191.1.1481;LT631543.1.1453;LT799002.1.1453;FQLI01000007.11395.12904;AY169424.1.1486;FAVI01000009.296310.297819;CZBA01000012.112579.114088;ACII02000001.1367.2884;X85101.1.1457;FLKC01000022.431649.433070;ACII02000002.195966.197483;FJVH01000009.22.1531;LN907760.1.1486;EU728792.1.1580;ACII02000002.340713.342230;EU728770.1.1485;AY305321.1.1452;FAVI01000008.1703276.1704567;HZ486354.1.1490;BABE01000945.62.1571;BABE01000244.3185.4694;L76601.1.1398;DQ986224.1.1438;AY169419.1.1490;FJVH01000013.367445.368954;FQLI01000007.276997.278506;LC010692.1.1492;FJ687607.1.1443;FLKC01000027.74000.75510;AB588023.1.1491;LC037229.1.1439;LG085095.1.1468;FQLI01000008.332592.334101;EU728789.1.1445;LT161889.1.1493;AF357567.1.1385;FQLI01000005.603062.604571;FQLI01000004.765.2274;BABE01000454.586.2095;AY305322.1.1451;LG086263.2.1508	7	7:3	LG085094.1.1491;HZ485187.1.1491;AB588023.1.1491	3
OTU_97.1066	JX048564.1.1433;JX048123.1.1424;JQ608058.1.1428;JQ608033.1.1424;M23732.1.1543;JX048399.1.1408;JX006317.1.1432;JX048545.1.1438;JQ608068.1.1417;CP015404.2933182.2934730;JX048169.1.1420;GU968167.1.1508;JX048112.1.1417;JX048199.1.1431;JX048454.1.1411;LG086605.4.1376;JQ608081.1.1424;GU811875.1.1292;LF133663.5.1381;JX048130.1.1436;JX048457.1.1398;JQ608069.1.1436;JX048091.1.1424;JX048099.1.1421;AGYV01000014.29.1556;JX048562.1.1440;JQ608067.1.1437;HZ486698.4.1376;JX048221.1.1444	13	14:4;13:18;330:1;331:1;332:1;333:1	AKCD01000001.321917.323435;AB018187.1.1504;L34616.1.1485;CP015404.858184.859732;AGYV01000014.29.1556;M23732.1.1543;CP015404.2933182.2934730;GU968167.1.1508;JX048199.1.1431;L34683.1.1485;JX006317.1.1432;LF133663.5.1381;HZ486698.4.1376;LG086605.4.1376;JX048562.1.1440;JX048564.1.1433;AB649277.1.1490;L34682.1.1486;JX048545.1.1438;JX048221.1.1444;JQ608058.1.1428;JX048099.1.1421;JQ608081.1.1424;JX048130.1.1436;JX048169.1.1420;JQ608047.1.1423	26
OTU_97.10664	NA	NA	58:6;55:9;56:6;57:2;95:1	ABFK02000017.223676.225190;ABFK02000016.619821.621335;AB554232.1.1488;L16497.1.1468;FCNT01000097.14.1527;LARG01000025.1.1402;AY538696.1.1466;AY547271.1.1466;CZBZ01000002.727652.729157;EU728719.1.1444;AJ518872.1.1414;CP003274.119147.120561;AY643083.1.1446;AJWZ01008598.7.1523;FP929032.881290.882801;HZ484947.1.1504;AB554233.1.1486;AY974072.1.1433;CAHA01000059.20.1541;CAEG01000022.14.1521;AB554230.1.1487;CP003274.2181216.2182629;AY643084.1.1446;AJ518874.1.1465	24
OTU_97.10665	JQ607243.1.1431;CP000139.346743.348252;AJ867043.1.1457;AB510712.1.1489;EU136687.1.1985;ASSN01000031.1609.3124;JQ607305.1.1446;JX048287.1.1404;JQ607114.1.1418;JQ607257.1.1414;JX006390.1.1422;JX006397.1.1422;AJ867044.1.1475;JQ606944.1.1418;JQ607246.1.1418;M58762.1.1533;CP000139.647842.649351;LG103726.1.1507;JQ607451.1.1421;LG085034.1.1507;JX048110.1.1435;AGXZ01000020.342567.344082;CP000139.2183533.2185042;JX006258.1.1422;CP000139.2587720.2589229;JQ606920.1.1421;CP000139.2095441.2096950;JQ607294.1.1425;CS600343.12.1518;JX048138.1.1422;AJ867050.1.1476;JQ607429.1.1424;LF135380.1.1507;ADKO01000087.185.1693;HZ485127.1.1507;KP944149.1.1433;CP000139.4743140.4744649;AJ867042.1.1475;CP000139.4430477.4431986;JQ607149.1.1411;JQ607625.1.1415;AB050111.1.1397;JQ607271.1.1416	25	25:43;26:19	AB510712.1.1489;EU136687.1.1985;CP000139.647842.649351;CP000139.2587720.2589229;CP000139.2095441.2096950;CP000139.346743.348252;ADKO01000087.185.1693;CP000139.4430477.4431986;AGXZ01000020.342567.344082;CP000139.2183533.2185042;AJ867050.1.1476;ASSN01000031.1609.3124;LG103726.1.1507;LG085034.1.1507;LF135380.1.1507;HZ485127.1.1507;CP000139.4743140.4744649;CS600343.12.1518;M58762.1.1533;AJ867042.1.1475;AJ867044.1.1475;AJ867043.1.1457;AB050111.1.1397;KP944149.1.1433;JQ607246.1.1418;JQ607451.1.1421;JQ607271.1.1416;JQ607149.1.1411;CP008741.391903.393445;JQ607257.1.1414;JQ606920.1.1421;JQ607305.1.1446;ABWZ01000093.3557.5076;JQ606944.1.1418;CP007619.4541152.4542694;CP007619.2713921.2715463;CP009057.2296841.2298384;CP008741.698758.700300;CP008741.4470567.4472116;CP007619.4881337.4882879;CP007619.3821131.3822673;CP008741.2205585.2207127;CP007619.4433201.4434743;CP007619.2423834.2425376;CP008741.2118731.2120273;CP007619.663681.665223;AB242142.1.1493;AB242143.1.1490;JQ607114.1.1418;JQ607625.1.1415;CP008741.2636685.2638227;JQ607294.1.1425;JQ607243.1.1431;JX006258.1.1422;JQ607429.1.1424;JX006390.1.1422;JX006397.1.1422;JX048110.1.1435;JX048138.1.1422;CP009057.4969468.4971009;JQ607431.1.1420;JX048287.1.1404	62
OTU_97.10668	ACFX02000046.4117.5635;AY305309.1.1453;LG085292.8.1518;AY305314.1.1444;HZ485385.8.1518;LT799971.1.1494;KM360180.1.1492	74	74:4	ACFX02000046.4117.5635;LG085292.8.1518;HZ485385.8.1518;LT799971.1.1494	4
OTU_97.1067	HZ485353.1.1505;LF651242.1.1505;AJ305238.1.1505	90	90:3;334:1	LF651242.1.1505;HZ485353.1.1505;AJ305238.1.1505;CCFG01000002.384.1925	4
OTU_97.10684	CP001107.2162771.2164291;BABD01000630.3115.4627;CP001107.763005.764525;CYYW01000006.154776.156288;FP929042.53.1573;CP001107.10914.12434;L34627.1.1468;AY169428.1.1492;CP001107.1425077.1426597;MJID01000001.1580.3121;AY804151.1.1496;AY442826.1.1528;AJ270475.1.1506;AY442817.1.1520;MJID01000039.570.2111;JX629259.1.1464;CP001107.307101.308621;FP929043.489815.491335	9	9:12	AY804151.1.1496;FP929042.53.1573;FP929043.489815.491335;CYYW01000006.154776.156288;AJ270475.1.1506;CP001107.307101.308621;CP001107.2162771.2164291;BABD01000630.3115.4627;AY169428.1.1492;CP001107.1425077.1426597;CP001107.10914.12434;CP001107.763005.764525	12
OTU_97.10713	NA	NA	335:1;290:1;196:1;193:1;197:1;336:1;337:1;338:1;339:1;340:1;341:1;342:1;343:1;344:1;345:1;346:1;347:1	LT576387.1.1491;FJ269072.1.1480;AB910750.1.1485;JN713426.1.1485;AY949857.1.1510;ACXX02000011.96414.97923;JQ670700.1.1489;ATAY01000084.171.1631;FR733680.1.1512;JN713204.1.1516;KU950271.1.1446;AB627030.1.1484;X71852.1.1514;X71854.1.1511;X71856.1.1510;CP003259.4601376.4602779;CP003259.926330.927733	17
OTU_97.10714	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	92	92:25;94:2	BAAY01002722.335.1825;BABD01001073.183.1673;BAAV01000571.2640.4130;BAAX01000694.431.1921;BAAX01000205.681.2171;BAAU01000686.2038.3530;BABG01000051.2348.3838;BAAY01001463.1184.2674;CYGL01005916.57.1552;BAAX01000042.422.1912;X85022.1.1499;HQ457025.1.1483;BAAY01001326.446.1936;BABG01001611.30.1520;LQ500123.51.1533;AJ413954.1.1462;BABA01001765.248.1738;LQ500116.1.1474;BAAX01000131.813.2303;LQ500131.1.1474;LQ500117.1.1474;BABG01000480.1321.2811;BABA01001556.422.1912;BAAY01000303.996.2486;JN713314.1.1504;AY169430.1.1474;EU728786.1.1477	27
OTU_97.1072	NA	NA	348:1;1:6;349:1;350:1;351:1;352:1;353:1;354:1;355:1	DQ479412.1.1498;AB601095.1.1495;AB601097.1.1495;AB601066.1.1493;CP002109.18567.20085;CP002109.704325.705843;CP002109.397549.399067;CP002109.795041.796559;LT223653.1.1494;LT161895.1.1495;AB601065.1.1493;AB610549.1.1493;AB601068.1.1493;CP002109.196661.198179	14
OTU_97.10726	JQ607915.1.1414;AB531489.1.1488;LUYU01000009.3392.4896;CZAF01000001.556013.557519;JX048342.1.1227;JQ607917.1.1422;CZAO01000004.122192.123698;LG103725.8.1386;AB363973.1.1415;JQ606974.1.1418;AB021157.1.1508;JQ607949.1.1412;FJ753769.1.1397;AB510711.1.1477;JQ606993.1.1417;JQ607438.1.1419;BAAU01000536.1575.3081;EU136680.1.2019;ASSO01000012.330141.331655;AB215082.1.1485;JNHN01000179.537048.538433;AB547646.1.1488;BAJS01000049.3577.5109;CZAC01000044.999.2505;HW066511.1.1490;BAKJ01000105.14.1519;CYYO01000004.82756.84262;JN873344.1.1474;CYZB01000007.3612.5118;JQ606994.1.1421;JQ607435.1.1425;LF135379.8.1386;LF650953.8.1386;JQ607986.1.1408;JX048103.1.1420;JQ607012.1.1416;JX006272.1.1419;CZAD01000019.36461.37967;JX048443.1.1415;KP944146.1.1427;AB547643.1.1486;JX048114.1.1422;BABD01000482.1904.3411;HZ486684.1.1341;JX048092.1.1415;CYZF01000001.433278.434784;CELP01000805.3695.5201;LV534866.8.1386;LF133347.8.1386;AB050110.1.1425;JQ607304.1.1423	16	16:20	CELP01000805.3695.5201;CZAF01000001.556013.557519;CZAC01000044.999.2505;CZAO01000004.122192.123698;CYYO01000004.82756.84262;CYZB01000007.3612.5118;EU136680.1.2019;CZAD01000019.36461.37967;BAAU01000536.1575.3081;CYZF01000001.433278.434784;AB510711.1.1477;AB050110.1.1425;ASSO01000012.330141.331655;JN873344.1.1474;KP944146.1.1427;JX006272.1.1419;JQ607917.1.1422;JQ607438.1.1419;JQ606994.1.1421;JX048103.1.1420	20
OTU_97.1073	JX101687.1.1487;EU980608.1.1520;CYZK01000040.552.2062;FR749920.1.1525;CS600346.9.1480;AAVP02000002.246738.248249;AF357572.1.1411;L34619.1.1479;AF445285.1.1525;AB196512.1.1455;LF651698.2.1512;AJ315979.1.1406;ACTM01000065.528.2046;LDAQ01000152.353.1865;LG085333.2.1512;FR749945.1.1521;FR749935.1.1522;AB600998.1.1493;HZ485426.2.1512;BAAU01002801.360.1869;ADBG01000142.461.1973;LF651214.3.1514;AAVP02000040.351.1861;CP015405.3598712.3600253;FQLT01000003.449641.451153;HZ485583.1.1509;CP015405.196247.197788;CZBS01000001.376463.377973;HZ486360.2.1513;AB233029.1.1493;HZ486353.2.1514;EU728703.1.1464;AAXA02000015.452491.454009;AB125231.1.1455;FR749937.1.1523;M59109.1.1537;L76604.1.1418;HZ485192.1.1493;DQ681227.1.1525;AAVP02000029.271.1782;ABOU02000049.4536.6056;LG086260.2.1514;BAAX01000752.408.1920;L76602.1.1402;LG085099.1.1493;LF651689.1.1511;LT598587.1.1497;AB571656.1.1493;AAVP02000025.9720.11231;FR749919.1.1525;BBZR01000066.208.1712;LF134083.1.1511;CP015405.4239136.4240677;AB818947.1.1494;HZ485589.1.1509;CP015405.2331703.2333244;FJ611794.1.1404;LG085496.1.1509;FR749936.1.1524;AZJE01000001.34797.36315;LT598580.1.1496;HZ485379.2.1514;EU377662.1.1346;FR749946.1.1524;ADLU01000111.254.1772;AZJE01000010.133433.134953;FAVJ01000004.312430.313940;LF135440.1.1493;LF134092.2.1512;BBDW01000030.73.1604;BABA01004003.155.1665;FR749917.1.1525;LG086267.2.1513;FR749918.1.1525;ACTN01000028.390.1908;HZ485186.1.1493;LG104461.1.1511;AZJE01000019.81382.82902;CVTZ01000007.99269.100776;AZJE01000037.2302.3820;HZ485517.10.1520;LG104470.2.1512;LF133408.1.1493;D14137.1.1385;CP015405.210899.212440;FR749938.1.1523;CZAC01000011.116399.117910;AAXA02000015.760903.762421;ACWP01000059.374.1892;LG085424.10.1520;CYZU01000015.70.1582;FQLT01000002.339798.341310;LT631508.1.1496;AZJE01000017.49865.51385;CVTZ01000011.472188.473700;AAXA02000016.197379.198897;GU985201.1.1526;LG085490.1.1509;AAXA02000014.354465.355983;EF031542.1.1453;CYZO01000012.74868.76378;KR364747.1.1521;AAXA02000006.102304.103822;CZAX01000013.119867.121377;FP929055.159.1677;ABVR01000038.1362.2880;CZAC01000092.963.2475;FR749921.1.1525;LF651014.1.1493	4	4:5;2:1;356:1;357:1	BBZR01000066.208.1712;LG085099.1.1493;HZ485192.1.1493;AB600998.1.1493;FNWC01000005.152430.153940;JMLZ01000002.2468958.2470468;JTGN01000001.4969.6479;LT631508.1.1496	8
OTU_97.10731	NA	NA	116:2;172:1;174:1;169:1;170:1;171:1;173:1;178:1;358:1;359:1;130:1;360:1;176:1;177:1;145:1;92:7;93:2;175:1;179:1;361:1;362:1;363:1;284:1;286:1;287:1;364:1;365:1;366:1;367:1;368:1;369:1;370:1;371:1;372:1;144:1;282:1;70:3;196:1;99:1;150:1;94:1;373:1;374:1;375:1;376:1;377:1;378:1;197:1;379:1;380:1;381:1	LARI01000033.555.2050;LAQZ01000049.1994.3490;FXLN01000003.3572.5070;FXLN01000003.742202.743700;AY949858.1.1511;FJ805840.1.1445;KM454168.1.1525;MBSV01000087.92.1617;FJVJ01000015.3438.4940;JQ670725.1.1481;FNWG01000007.3380.4869;JMMA01000002.1983613.1985105;LT598578.1.1473;CP020705.2051671.2053189;CP020705.653886.655404;FNLI01000001.906.2398;JN713314.1.1504;CBXK010002535.1192.2697;KT935669.1.1461;BAAV01000064.898.2410;BABG01000480.1321.2811;AB491207.1.1467;AB622826.1.1517;BAAY01000303.996.2486;JW175724.1.1208;X81653.1.1489;ACEC01000059.3517.5032;LG085265.3.1510;HZ485358.3.1510;FIZH01000015.305.1824;CP015400.1820588.1822127;CP015400.1209305.1210844;BBEP01000044.3365.4849;FP929052.65921.67414;LG105072.1.1486;LF136726.1.1486;HZ486349.1.1486;AB910742.1.1467;JHXH01000008.774.2270;EU158190.1.1510;ABGD02000031.941.2453;ABGD02000021.1868.3380;ABGD02000032.3011.4523;BAAX01000042.422.1912;BABA01001556.422.1912;BABA01001765.248.1738;LQ500131.1.1474;AB910750.1.1485;LBCK01000001.461645.463135;LN866995.1.1482;DQ057482.1.1450;Y18181.1.1435;FMIZ01000005.450.1954;FMIZ01000006.769456.770960;FMIZ01000007.451.1955;FMIZ01000005.383348.384852;FMIZ01000004.105628.107132;AY949857.1.1510;LN881567.1.1520;AB622825.1.1524;AB622827.1.1519	61
OTU_97.10745	NA	NA	57:10;55:9;56:6;58:6;95:4;147:1;148:1;113:3;43:3	CZBZ01000002.727652.729157;AJ518872.1.1414;CCIZ01000013.190076.191585;ARFY01000032.606843.608350;ARFY01000017.91797.93304;AB554231.1.1489;LARG01000025.1.1402;LG084852.1.1439;AY974071.1.1440;KP297842.1.1452;AY643082.1.1451;AJWZ01008598.7.1523;EU728719.1.1444;CP003274.119147.120561;AY643083.1.1446;FP929032.881290.882801;HZ484947.1.1504;AB554233.1.1486;AB554230.1.1487;AY538696.1.1466;AY547271.1.1466;ABFK02000017.223676.225190;ABFK02000016.619821.621335;AB554232.1.1488;CP003274.2181216.2182629;AY974072.1.1433;FCNT01000097.14.1527;L16497.1.1468;AY643084.1.1446;AJ518874.1.1465;CAHA01000059.20.1541;CAEG01000022.14.1521;FKYL01000005.1805440.1806947;LT223566.1.1491;CZBH01000001.999036.1000544;LARG01000024.765.2171;JRGF01000044.3.1537;FNWB01000008.1278584.1280092;LT598563.1.1492;ADLD01000012.328.1844;AB600999.1.1490;AJ518876.1.1339;AB490804.1.1482	43
OTU_97.10769	NA	NA	63:5;322:1;323:1;325:1;324:1;326:1;382:1;330:1;383:1;384:1;385:1;386:1;387:1;388:1;389:1;390:1;391:1;392:1;393:1;394:1;395:1;396:1;397:1;398:1;399:1;400:1;401:1;402:1;105:1;64:3;403:1;404:1;405:1;406:1;407:1;310:1;311:1;408:1;409:1	AB727348.1.1509;AF349724.1.1508;CP013476.1312130.1313651;CP013476.575138.576663;KR422351.1.1495;LK391553.1.1390;KP174492.1.1490;KP174567.1.1487;AFNU02000027.3828.5341;EF999972.1.1345;DQ448792.1.1517;L34683.1.1485;AP012027.78700.80240;AP012027.1126503.1128043;AP012027.1131935.1133475;AP012027.84132.85672;AP012027.446379.447919;AP012027.1137367.1138907;AP012027.1121071.1122611;ACLK02000003.365155.366681;ACLK02000002.1006.2532;ACLK02000002.739106.740632;ACLK02000003.3961.5487;AB055908.1.1479;AB055909.1.1475;AB055905.1.1479;AB034200.1.1497;BBDT01000057.3432.4945;CRRL01000064.5229.6766;M23728.1.1487;CP005079.626780.628324;AJ550617.1.1504;CAEN01000062.3382.4895;ABIK02000013.103269.104574;ABIK02000003.44069.45469;X73441.1.1519;AB030218.1.1486;HM771669.1.1545;KT441067.1.1545;AB540983.1.1500;AB055906.1.1479;AB540988.1.1486;AB540987.1.1486;CP013213.866020.867570;CP013213.2141313.2142863	45
OTU_97.10770	NA	NA	335:1;290:1;340:1;410:1;411:1;412:1;413:1;296:1	LT576387.1.1491;FJ269072.1.1480;JN713204.1.1516;HQ222286.1.1544;JN688032.1.1445;JN713190.1.1519;AB730671.1.1509;AY442821.1.1512	8
OTU_97.10813	JQ607243.1.1431;CP000139.346743.348252;AJ867043.1.1457;AB510712.1.1489;EU136687.1.1985;ASSN01000031.1609.3124;JQ607305.1.1446;JX048287.1.1404;JQ607114.1.1418;JQ607257.1.1414;JX006390.1.1422;JX006397.1.1422;AJ867044.1.1475;JQ606944.1.1418;JQ607246.1.1418;M58762.1.1533;CP000139.647842.649351;LG103726.1.1507;JQ607451.1.1421;LG085034.1.1507;JX048110.1.1435;AGXZ01000020.342567.344082;CP000139.2183533.2185042;JX006258.1.1422;CP000139.2587720.2589229;JQ606920.1.1421;CP000139.2095441.2096950;JQ607294.1.1425;CS600343.12.1518;JX048138.1.1422;AJ867050.1.1476;JQ607429.1.1424;LF135380.1.1507;ADKO01000087.185.1693;HZ485127.1.1507;KP944149.1.1433;CP000139.4743140.4744649;AJ867042.1.1475;CP000139.4430477.4431986;JQ607149.1.1411;JQ607625.1.1415;AB050111.1.1397;JQ607271.1.1416	25	25:28;26:1	ADKO01000087.185.1693;AGXZ01000020.342567.344082;AB510712.1.1489;EU136687.1.1985;CP000139.647842.649351;CP000139.2587720.2589229;CP000139.2095441.2096950;CP000139.346743.348252;CP000139.4430477.4431986;LG103726.1.1507;LG085034.1.1507;LF135380.1.1507;HZ485127.1.1507;ASSN01000031.1609.3124;CP000139.2183533.2185042;AJ867050.1.1476;AJ867044.1.1475;CP000139.4743140.4744649;CS600343.12.1518;M58762.1.1533;AJ867042.1.1475;AJ867043.1.1457;CP009057.4969468.4971009;AB050111.1.1397;KP944149.1.1433;JQ607246.1.1418;JQ607451.1.1421;JQ607271.1.1416;JQ607149.1.1411	29
OTU_97.10821	NA	NA	37:8;160:1;165:1;162:1;153:1;161:1;167:1;163:1;164:1;154:1;155:1;157:1;152:1;158:1;168:1;159:1	ASTC01000037.211.1727;AB702937.1.1496;HW313920.1.1483;HW798623.1.1493;LF623612.1.1491;LF623590.4.1475;HW798611.1.1495;HW798599.4.1475;HW313926.4.1475;HW313948.1.1491;FJ625862.7160.8682;BAGW01000037.287.1796;FJ625861.27324.28847;LF623579.1.1491;HW798619.1.1493;HW798588.1.1491;AP012044.1864519.1866052;AP012044.1260691.1262224;AP012044.420887.422420;LF652028.9.1518;LG104800.9.1518;LF134422.9.1518;HZ486081.9.1518	23
OTU_97.10835	AJWZ01002193.94.1618;EU728752.1.1491;ACBX02000025.1.1217;AB064923.1.1494;AB244772.1.1493;EU728740.1.1484;AB649279.1.1493;CBXK010002068.363.1874;LT722678.1.1454;AB244771.1.1493;AB244770.1.1491;ACBX02000017.22857.24376;AB244773.1.1493;ACBX02000014.1230.2749;EU728712.1.1486;EU728757.1.1485	27	27:16;213:1	EU728757.1.1485;AJWZ01002193.94.1618;AB244773.1.1493;AB244771.1.1493;AB244770.1.1491;ACBX02000014.1230.2749;AB649279.1.1493;AB244772.1.1493;AB064923.1.1494;ACBX02000017.22857.24376;ACBX02000025.1.1217;EU728712.1.1486;CBXK010002068.363.1874;EU728740.1.1484;LT722678.1.1454;EU728752.1.1491;EU728732.1.1487	17
OTU_97.10838	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	92	92:26;94:3	BAAX01000042.422.1912;BABG01001611.30.1520;BAAX01000205.681.2171;BAAU01000686.2038.3530;BABA01001765.248.1738;BAAY01001326.446.1936;LQ500123.51.1533;LQ500117.1.1474;AJ413954.1.1462;BAAX01000131.813.2303;LQ500116.1.1474;X85022.1.1499;BABA01001556.422.1912;LQ500131.1.1474;HQ457025.1.1483;BABD01001073.183.1673;BAAY01002722.335.1825;BAAY01000303.996.2486;BAAX01000694.431.1921;BABG01000480.1321.2811;BABG01000051.2348.3838;CYGL01005916.57.1552;BAAV01000571.2640.4130;BAAY01001463.1184.2674;EU728783.1.1433;JN713314.1.1504;AY169430.1.1474;DQ057482.1.1450;EU728786.1.1477	29
OTU_97.10839	LV534824.10.1516;BABD01000526.1236.2742;AB253732.1.1458;BAJK01000111.3667.5173;ABFZ02000010.54.1555;BABB01000067.5995.7501;LC033792.1.1501;LN907743.1.1476;X83953.1.1342;ABFZ02000011.1.1404;AB253733.1.1458;AB547638.1.1488;LF650911.10.1516;FQWK01000014.251.1781;FNOD01000057.3565.5095;ARFR01000003.2.1263;HZ485141.10.1516;BAAU01001024.317.1823;ABFZ02000022.100210.101724;AB490801.1.1479;LF135337.10.1516;AB510708.1.1476;HZ485083.10.1516;EU136684.1.1926	18	18:22;16:1	BABB01000067.5995.7501;BAAU01001024.317.1823;ABFZ02000022.100210.101724;HZ485141.10.1516;FNOD01000057.3565.5095;ABFZ02000010.54.1555;LC033792.1.1501;BABD01000526.1236.2742;LN907743.1.1476;AB510708.1.1476;ABFZ02000011.1.1404;EU136684.1.1926;X83953.1.1342;FQWK01000014.251.1781;LF650911.10.1516;LF135337.10.1516;LV534824.10.1516;HZ485083.10.1516;AB547638.1.1488;BAJK01000111.3667.5173;ARFR01000003.2.1263;AB490801.1.1479;BAKJ01000105.14.1519	23
