#partition_num	db_seqs	size_of_partition
41	AB916501.1.1486;JX424765.1.1474;AY538684.1.1491;LARL01000139.98.1602;FBYB01000006.1397107.1398611;AB916502.1.1486	6
42	EU728723.1.1495;AB443949.1.1486	2
43	AB490804.1.1482;AB600999.1.1490;ADLD01000012.328.1844	3
44	ADMC01000038.27513.29026;AB490805.1.1478;AB547648.1.1487	3
45	LG104876.1.1449;AB490811.1.1610;LV536017.1.1449;JN713316.1.1543;HW161115.1.1611	5
46	AB510697.1.1478;X83951.1.1422;AGXF01000001.587.2103;HZ485081.1.1506;LG084988.1.1506;EU136686.1.1972	6
47	AGXS01000026.294285.295795;AY608697.1.1413;AB510704.1.1473;EU136693.1.2184	4
48	AQHX01000010.665280.666790;AQHX01000020.1891.3401;AQHX01000008.421436.422946;EU136690.1.2033;AY608696.1.1419;AB510707.1.1473;BAJL01000058.3711.5213;AQHX01000018.1891.3401	8
49	LN998085.1.1474;CS600359.1.1435;X75907.1.1467;M59102.1.1460;AB627079.1.1476;CYZW01000001.720410.721904;AB536771.1.1476;X73445.1.1511	8
50	AVNC01000018.144581.146069;DQ445861.1.1248;KT633854.1.1464;ABEZ02000012.1768.3258;FR749984.1.1495;AVNC01000008.12097.13590;AVNC01000006.134293.135772;BDJI01000002.222506.223987;AF320283.1.1488;FJTZ01000012.200280.201763;DQ445859.1.1238;DQ445863.1.1295;LN846800.1.1490;AVNC01000004.30820.32309;AVNB01000002.10196.11683;AVNC01000016.578.2065;KC517358.1.1476;ABEZ02000014.123.1613;ABEZ02000015.506.1996;AVNC01000011.46614.47926;AB618787.1.1463;AB601079.1.1475;AB610575.1.1461;AVNB01000007.18922.20412;AY438672.1.1429;AVNC01000001.4068.5557;AB538434.1.1463;LN998075.1.1456;LT223654.1.1465;ABEZ02000021.84162.85652;DQ445860.1.1280	31
51	GU561412.1.1445;DQ003631.1.1486;JQ607441.1.1448;JQ680144.1.1391;GU413690.1.1212;AB679111.1.1500;AY355140.1.1402;BBDV01000045.70.1641	8
52	AY995758.1.1459;AF439641.1.1400;AEXI01000017.39.1552;AY995753.1.1459;ACIK02000004.641603.643153;JQ680195.1.1377;JQ680181.1.1417;ACIK02000004.1283.2833;KU321270.1.1486;JQ680327.1.1401;HM007566.1.1345;JQ680139.1.1392;LG105393.1.1354;AF439640.1.1409;JQ680318.1.1397;LSDO01000062.22.1559;JN695647.1.1441;AY995755.1.1460;CP001820.722770.724320;AZYX01000006.79.1591;JN695646.1.1434;LF135009.1.1389;JQ680173.1.1413;ADFU01000009.53.1567;AY995768.1.1498;AY995766.1.1459;AY995770.1.1498;JQ680326.1.1395;KU550132.1.1515;X84005.1.1513;KP944174.1.1466;AF287782.1.1485;JQ680335.1.1396;LV536534.1.1354;JQ680142.1.1393;LF135015.1.1354;X84006.1.1513;AY995763.1.1459;JQ680325.1.1397;GQ422725.1.1539;AY995769.1.1500;HQ616381.1.1405;AMEX01000022.25.1575;AY995754.1.1459;AY995761.1.1459;AF287781.1.1484;AY995759.1.1460;LF137047.1.1354;CP020566.1518578.1520146;AY953257.1.1551;EU728725.1.1470;X84007.1.1513;HQ616396.1.1464;AY923144.1.1571;JX048346.1.1448;CP001820.1572261.1573812;AB679110.1.1514;AY995760.1.1460;ACIK02000021.64.1614;AY995757.1.1459;JQ607586.1.1445;EF185168.1.1497;AB679109.1.1520;JQ680320.1.1398;AY995764.1.1459;GU406115.1.1485;AY995765.1.1459;JN695642.1.1426;JQ680138.1.1394;AY995752.1.1459;AB679112.1.1519;CP001820.103635.105185;GU574206.1.1443;CP020566.560560.562128;JQ680328.1.1413;AY995762.1.1459;AB538437.1.1524;JN695641.1.1427;AY995751.1.1459;GU561411.1.1451;AF439639.1.1375;AY995767.1.1497;EF185167.1.1497;LOJO01000005.3693.5261;CP001820.579094.580644;JN695640.1.1446;JQ680136.1.1391	87
53	CP002544.2203321.2204832;CP002544.1477119.1478630;CP002544.2531255.2532766;L16496.1.1467;CP002544.2310357.2311868;AB547649.1.1485	6
54	AJVZ01000001.43924.45432;AJVZ01000012.335780.337288;AB547673.1.1490;KP944198.1.1435;AJVZ01000014.101467.102975;JN867270.1.1553;AB547674.1.1479;AJVZ01000011.66937.68447;JRNF01000130.37.1576;L16475.1.1471;JRNQ01000038.142.1681	11
55	CP003274.2181216.2182629;AY643083.1.1446;AJWZ01008598.7.1523;AJ518874.1.1465;EU728719.1.1444;LARG01000025.1.1402;CP003274.119147.120561;AB554230.1.1487;AY643084.1.1446	9
56	HZ484947.1.1504;AY974072.1.1433;FP929032.881290.882801;AY538696.1.1466;AB554233.1.1486;AY547271.1.1466	6
57	ARFY01000017.91797.93304;CZBZ01000002.727652.729157;ARFY01000032.606843.608350;AJ518872.1.1414;AY974071.1.1440;CCIZ01000013.190076.191585;AY643082.1.1451;KP297842.1.1452;AB554231.1.1489;LG084852.1.1439	10
58	FCNT01000097.14.1527;L16497.1.1468;AB554232.1.1488;ABFK02000016.619821.621335;CAHA01000059.20.1541;ABFK02000017.223676.225190	6
59	AB595128.1.1488;M23731.1.1480;AY699288.1.1524;ABFX02000008.225014.226528;X73440.1.1526;HZ485368.8.1515	6
60	FNMT01000008.61648.63013;JN381505.1.1466;JMMB01000008.5751.7235;M59107.1.1510;FJTZ01000010.121179.122661;LN555523.2288351.2289843;AB596881.1.1466;EU887828.1.1449;LN998079.1.1468;LN881606.1.1466;FJTZ01000012.11975.13329;FJTZ01000006.387.1869	12
61	AY162469.1.1524;JN713211.1.1560;AY134907.1.1554;ACIM02000001.1245177.1246733;ACIM02000001.828416.829972;GU401492.1.1493;ACIM02000001.564708.566263;AB626632.1.1530;AF287787.1.1541	9
62	AYJP01000030.3867.5385;AB702936.1.1497;AB702938.1.1497;AYJP01000025.476.1994;KC311367.1.1475;MJII01000001.3039866.3041405;AYJP01000005.456678.458196	7
63	CP013476.575138.576663;KR422351.1.1495;AF349724.1.1508;AB727348.1.1509;CP013476.1312130.1313651	5
64	ABIK02000003.44069.45469;FOIN01000080.104.1634;X75908.1.1388;ABIK02000013.103269.104574;Y18188.1.1489;AB818948.1.1486;X73441.1.1519;AB910744.1.1488	8
65	LG085238.1.1472;LAQZ01000051.1902.3397;AB971795.1.1477;FJ384390.1.1420;Y18176.1.1472;HZ485331.1.1472	6
66	CP004121.6226852.6228352;CP004121.6437713.6439213;LN908213.6162831.6164330;CP004121.802658.804158;LZZM01000091.64.1562;CP004121.5763217.5764717;CP004121.149180.150680;CP004121.6236066.6237566;CP004121.5788910.5790410	9
67	ABCA03000019.5787.7283;LN907768.1.1454;FP929059.2595678.2597174;ABCA03000037.60092.61588;L34625.1.1453;ABCA03000043.85213.86709;ABCA03000054.109907.111403	7
68	LG085297.7.1519;FP929061.44196.45716;JF412658.1.1434;JYFK01000107.53.1565;CYXY01000021.54922.56434;LF136122.10.1522;LV535609.10.1522;CP012098.1923901.1925441;BABG01000037.405.1917;CZAU01000010.430.1942;CP012098.2252006.2253546;FR749932.1.1616;HZ485590.1.1509;CP012098.1469166.1470706;FR749933.1.1618;CYXT01000032.32257.33769;CYYH01000005.2109.3621;ABGC03000041.222.1742;HZ485390.7.1519;LF134090.10.1522	20
69	CP012098.9903.11443;CP012098.3166784.3168324;CP012098.1525.3045;FR749934.1.1515	4
70	AJ308104.1.1370;ABGD02000032.3011.4523;AJ315980.1.1393;ABGD02000021.1868.3380;ABGD02000031.941.2453	5
71	X89981.1.1473;ABWN01000012.312.1822;LF135522.9.1511;FR733670.1.1511;LF133490.9.1511	5
72	BAAV01003213.549.2063;ABYT01000002.2079.3606;M59230.1.1487;BAAX01009387.130.1378;EU728795.1.1416	5
73	HZ486083.9.1519;ACDQ01000020.3988.5498;U49757.1.1488;ACDP02000005.388.1906;U49758.1.1481;U49751.1.1497;U49752.1.1498;CP019430.2275484.2277024;U49756.1.1491;U49754.1.1507;LF136456.9.1519;HG917902.1.1504;CP019430.2369902.2371442;U49750.1.1505;U49749.1.1499;CP018787.2373496.2375006;LV535943.9.1519	17
74	ACFX02000046.4117.5635;AY305309.1.1453;LG085292.8.1518;AY305314.1.1444;HZ485385.8.1518;LT799971.1.1494;KM360180.1.1492	7
75	AEXK01000007.98.1663;AEHN01000009.189.1754;Y16329.1.1539;ADHG01000001.652476.654027;ACLN01000018.105.1663;AZET01000021.2453.4003;AEPX01000015.105.1663	7
76	CCYG01000338.190.1701;MEHE01000012.135.1674;LN881600.1.1495;ACTP02000021.182566.184085;ACTP02000011.422074.423593;MEHB01000041.181.1720;AWST01000112.51.1570;ACTP02000009.47.1566;MCGH01000002.3508013.3509539	9
77	ADLQ01000114.174.1692;LG085311.10.1520;ADLR01000157.173.1691;BAID02000318.100.1610;AWSU01000084.23.1541;ACWK01000143.517.2035;FIZZ01000025.174.1684;CYZY01000014.78043.79553;M59112.1.1478;HZ485404.10.1520	10
78	ACWX01000068.1024.2540;JN703378.1.1490	2
79	LF652232.3.1385;ADDX02000003.990319.991837;AY136666.1.1483;LN998060.1.1495;LT598567.1.1494;HQ452853.1.1464	6
80	AGCK01000014.389.1908;AY730663.1.1465;CP015406.1079531.1081069;AY730662.1.1484;CWHM01000069.3748.5259;LF651527.1.1465;Y18187.1.1550;BABA01006862.484.1995;AWSS01000025.3977.5496;AY724678.1.1465;EU541437.1.1486;EU874848.1.1460;GU968170.1.1471;CXRW01001441.343.1854;JQ608065.1.1421	15
81	AF062492.1.1454;AJ251584.1.1414;CP000776.1447434.1448884;DQ174182.1.1339;CP000776.72272.73722;CP000776.411397.412847	6
82	AY721628.1.1491;AF192152.1.1542	2
83	EU980606.1.1538;X93146.1.1546;GQ503869.1.1513;AF192154.1.1542;GQ503791.1.1521;GQ503803.1.1515;CP001358.1490627.1492164;FJ815444.1.1424;JQ607383.1.1440;GQ503807.1.1516;KJ459860.1.1418;ATUZ01000009.3757.5286;CP001358.459161.460698;GQ503855.1.1515;JQ607812.1.1442;GQ503801.1.1503;HQ591418.1.1501;KJ459867.1.1441;GQ503788.1.1514;CP001358.2041424.2042961;AF192153.1.1542;KF601940.1.1447	22
84	HE576794.210779.212330;AY038994.1.1507;HE576794.683487.685038;HE576794.2473031.2474582;HE576794.532644.534195;HM990965.1.1566;U95027.1.1426;HE576794.1391947.1393498;AY038995.1.1506;JF709896.1.1433;HE576794.474375.475926;HE576794.1029437.1030988	12
85	AY038993.1.1505;AF283705.1.1513;KT006903.1.1475;JX424772.1.1519;KC311757.1.1427;CP009240.83084.84652	6
86	LG084742.1.1489;CP003058.391435.392923;HZ484835.1.1489;LF135089.1.1489;CP003058.15620.17108;LG103435.1.1489;LV534576.1.1489;AF473835.1.1439;LF133057.1.1489;CP003058.120458.121946	10
87	CRDM01000005.1059.2595;CKFN01000024.4833.6367;FN568063.173675.175212;FN568063.451370.452907;CRCS01000011.962.2495;CKGV01000033.4234.7508;AILI01000006.63214.64745;AGQK01000007.43670.45204;AILI01000007.201853.203386;CLDM01000143.7019.8501;CKVQ01000029.7020.8481;GEXI01097563.20.1513;CHHG01000027.24503.25998;CHQZ01000002.21165.22709;JVJI01000137.3357.4883;CKER01000071.1030.2278;CHHB01000054.1197.2732;CHVY01000081.3349.4883;CRKW01000011.6991.8524;CHRJ01000009.1030.2563;AIKH01000011.1538.3071;AILI01000004.769679.771209;CQZN01000034.1030.2571;CQXU01000003.53043.54578;CRBQ01000040.8559.10092;AICS01000067.3419.4876;FN568063.238757.240294	27
88	AJ011522.1.1414;CYYA01000009.1176.2688	2
89	LWLI01000001.299563.301073;LWLH01000014.4.1472;AJ270471.1.1484;EU728728.1.1421;LWLH01000003.2.1317	5
90	HZ485353.1.1505;LF651242.1.1505;AJ305238.1.1505	3
91	CYZE01000004.470365.471876;LG085249.1.1493;AY552788.1.1493;HZ485342.1.1493;EF408243.1.1494;BABF01000589.4109.5619;AJ311620.1.1431;BAAZ01002164.4.1476	8
92	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	26
93	DQ057476.1.1531;CYYL01000043.1.1232;LG086624.1.1349;JN037416.1.1278;CYXN01000059.1.1287;LQ500118.2.1408;CBXK010002535.1192.2697;HQ457031.1.1308;LQ500130.1.1385;BAAV01000064.898.2410;LQ500129.2.1400;LQ500121.1.1405	12
94	DQ057482.1.1450;AY169430.1.1474;EU728786.1.1477	3
95	LT223566.1.1491;AJ518876.1.1339;FKYL01000005.1805440.1806947;CAEG01000022.14.1521	4
96	AJ566849.1.1455;LT623892.1.1499	2
97	JN664096.1.1401;L37785.1.1419;GU585669.1.1449;LT725662.1.1455;HM037997.1.1462	5
98	U82813.1.1467;AJ867049.1.1500	2
99	LBCK01000001.461645.463135;AWVF01000032.457.1953;L76596.1.1371	3
100	HZ485351.1.1497;AY033434.1.1497;HQ324121.1.1475	3
101	CP015409.1960463.1961978;CP001071.989916.991420;CP001071.320473.321977;LTZM01000016.4044.5543;AY271254.1.1433;CP001071.1459761.1461265	6
102	AY305318.1.1452;L34621.1.1479;CQ889264.1.1458;LARJ01000053.431.1762;CYYC01000009.526.2035;KF697956.1.1425	6
103	HZ485383.4.1502;AY442828.1.1510;AY350746.1.1440;EU728735.1.1436;LG085290.4.1502;D14148.1.1353	6
104	CYXU01000014.314.1811;CYYZ01000009.85141.86638;CYYJ01000018.9997.11494;LV535229.1.1440;EF031543.1.1440;LF135742.1.1440;LG104088.1.1440;CYYE01000020.503.2000	8
105	AY653232.1.1310;CAEN01000062.3382.4895;HZ405969.13.1425	3
106	L34618.1.1469;BCAB01000048.3508.5014;HZ485586.9.1470	3
107	LT558818.1.1689;FPLB01000012.419851.421366;CALK01000057.3384.4901;LT223581.1.1499;LT576390.1.1501	5
108	CVPG01000005.512571.514082;LF134085.2.1513;LF651691.2.1513;CVPG01000006.667384.668895;LG104463.2.1513;LFIL01000039.6.1547;LF136117.2.1513;HZ486358.1.1416;KT156811.1.1482;LV535604.2.1513	10
109	CYPV01000006.3613.5120;JTDA01000039.175.1712	2
110	EU266549.1.1452;FMUV01000065.209.1620;LARF01000079.1.1498;LARF01000076.2386.3883	4
111	EU728724.1.1426;LT558848.1.1494	2
112	FAUJ01000006.3367.4875;LN881596.1.1490;FAUJ01000008.3367.4875;FAUJ01000007.3367.4875	4
113	FNWB01000008.1278584.1280092;JRGF01000044.3.1537;LT598563.1.1492	3
114	FTRU01000003.3359.4854;LT598596.1.1479	2
115	HF545616.1595630.1597136;HF545616.164905.166411;HF545617.337862.339368;HF545616.962351.963857	4
116	LAQZ01000049.1994.3490;LARI01000033.555.2050	2
117	X72865.1.1511;X72867.1.1547	2
118	FAUK01000014.218606.220097	1
119	LN846908.1.1491	1
120	DQ057481.1.1439	1
121	LARC01000079.436.1820	1
122	CP015403.1230360.1231913	1
123	FOAT01000040.3592.5104	1
124	AF104833.1.1459	1
125	AF104839.1.1466	1
126	AF030451.1.1459	1
127	AB849340.1.1445	1
128	AB849341.1.1449	1
129	AY445602.1.1501	1
130	JMMA01000002.1983613.1985105	1
131	AB538438.1.1472	1
132	CP002403.1548328.1549826	1
133	CP002403.417348.418847	1
134	CP002403.2867312.2868810	1
135	CP002403.3675459.3676957	1
136	AY445600.1.1503	1
137	L76598.1.1407	1
138	AB849339.1.1445	1
139	EU445110.1.1200	1
140	DL242959.1.1443	1
141	AB301912.1.1443	1
142	HQ404370.1.1432	1
143	KF697933.1.1405	1
144	JHXH01000008.774.2270	1
145	FNLI01000001.906.2398	1
146	JOOA01000002.604280.605769	1
147	CZBH01000001.999036.1000544	1
148	LARG01000024.765.2171	1
149	DQ057467.1.1475	1
150	LN866995.1.1482	1
151	LT598546.1.1487	1
152	FJ625861.27324.28847	1
153	LF623612.1.1491	1
154	HW313948.1.1491	1
155	FJ625862.7160.8682	1
156	BAAZ01001521.295.1804	1
157	BAGW01000037.287.1796	1
158	LF623579.1.1491	1
159	HW798588.1.1491	1
160	AB702937.1.1496	1
161	LF623590.4.1475	1
162	HW798623.1.1493	1
163	HW798599.4.1475	1
164	HW313926.4.1475	1
165	HW313920.1.1483	1
166	LT598592.1.1493	1
167	HW798611.1.1495	1
168	HW798619.1.1493	1
169	AY949858.1.1511	1
170	FJ805840.1.1445	1
171	KM454168.1.1525	1
172	FXLN01000003.3572.5070	1
173	MBSV01000087.92.1617	1
174	FXLN01000003.742202.743700	1
175	KT935669.1.1461	1
176	CP020705.2051671.2053189	1
177	CP020705.653886.655404	1
178	FJVJ01000015.3438.4940	1
179	AB491207.1.1467	1
180	CP002400.2304237.2305728	1
181	CP002400.451603.453094	1
182	CP002400.2984437.2985928	1
183	AY833426.1.1499	1
184	AY833421.1.1499	1
185	AY675965.1.1497	1
186	AY434718.1.1496	1
187	AY363375.1.1500	1
188	AY332392.1.1504	1
189	AY295777.1.1499	1
190	AY339127.1.1511	1
191	AB040498.1.1451	1
192	AB040497.1.1450	1
193	JN713426.1.1485	1
194	CP001850.465385.466901	1
195	CP001850.255538.257054	1
196	AB910750.1.1485	1
197	AY949857.1.1510	1
198	EU728796.1.1488	1
199	DQ057453.1.1460	1
200	AB239487.1.1487	1
201	JQ607612.1.1424	1
202	CP002028.2192663.2194189	1
203	CP002028.244309.245835	1
204	CP002028.82421.83947	1
205	JF820825.1.1495	1
206	FJ465164.1.1505	1
207	JQ599692.1.1483	1
208	KJ522755.1.1496	1
209	L09177.1.1500	1
210	JQ599653.1.1483	1
211	FWCH01000011.36791.38284	1
212	LT558850.1.1477	1
213	EU728732.1.1487	1
214	FMIW01000005.418310.419846	1
215	EU728718.1.1446	1
216	FNVS01000030.3615.5146	1
217	AGES01000002.1517833.1519347	1
218	AB574482.1.1489	1
219	LT558809.1.2930	1
220	AB739697.1.1442	1
221	AGES01000009.1340374.1341888	1
222	AGES01000014.73256.74770	1
223	LT223609.1.1490	1
224	KX462878.1.1423	1
225	AB470344.1.1487	1
226	AB470343.1.1485	1
227	FQSE01000007.1631802.1633308	1
228	LT725663.1.1450	1
229	AGZO01000005.452.1966	1
230	ASSQ01000028.98117.99631	1
231	ASSQ01000025.293398.294912	1
232	AGZO01000011.369833.371347	1
233	AGZO01000045.56609.58123	1
234	ASSQ01000020.1189752.1191266	1
235	AQFV01000011.277632.279146	1
236	AQFV01000015.300695.302209	1
237	FJ862827.1.1521	1
238	HW066513.1.1490	1
239	FUFV01000048.87.1597	1
240	HQ122961.1.1394	1
241	DQ677015.1.1505	1
242	EU136697.1.2002	1
243	FJ799120.1.1498	1
244	FJ799161.1.1470	1
245	JN029805.1.1481	1
246	AY949860.1.1520	1
247	DQ676993.1.1505	1
248	AB547650.1.1476	1
249	LZEK01000004.127788.129330	1
250	LC033805.1.1630	1
251	HQ020488.1.1502	1
252	AF357554.1.1448	1
253	CP012068.1155204.1156722	1
254	CP012068.1576987.1578505	1
255	FLKM01000009.1335473.1336974	1
256	LT623899.1.1481	1
257	AGWI01000033.121.1625	1
258	AY167964.1.1510	1
259	LT576391.1.1479	1
260	AJ251215.1.1500	1
261	HM596276.1.1491	1
262	KR822473.1.1454	1
263	GQ461729.1.1492	1
264	HW313943.1.1475	1
265	HW798603.1.1493	1
266	BABA01004494.37.1528	1
267	MEHD01000002.135.1674	1
268	AY029616.1.1508	1
269	MEHC01000048.181.1720	1
270	JNLE01000003.974176.975689	1
271	JN662465.1.1492	1
272	CZBC01000011.231486.232997	1
273	LN998056.1.1491	1
274	AB861982.1.1489	1
275	FQRZ01000004.1502664.1504171	1
276	FQSC01000001.428978.430485	1
277	LT629973.1172287.1173788	1
278	LT629973.2430275.2431776	1
279	LT631513.1.1449	1
280	X97852.1.1466	1
281	X98011.1.1468	1
282	EU158190.1.1510	1
283	AF150697.1.1454	1
284	ACEC01000059.3517.5032	1
285	FKLA01000009.186857.188363	1
286	LG085265.3.1510	1
287	HZ485358.3.1510	1
288	MSHI01000090.182843.184350	1
289	FJ802333.1.1218	1
290	FJ269072.1.1480	1
291	ACVX01000081.60.1580	1
292	AB588017.1.1489	1
293	CP002416.497122.498637	1
294	CP002416.3544459.3545974	1
295	CP000568.3427593.3429113	1
296	AY442821.1.1512	1
297	CP016502.684386.685901	1
298	AB558166.1.1489	1
299	CP002416.747703.749218	1
300	CP002416.684465.685980	1
301	CP000568.3599368.3600888	1
302	CP000568.3665491.3667011	1
303	CP000568.2816913.2818433	1
304	AF481210.1.1524	1
305	AF287786.1.1532	1
306	AB626634.1.1465	1
307	LSDR01000051.85.1641	1
308	CYZS01000414.159.1705	1
309	KF698401.1.1417	1
310	AB540988.1.1486	1
311	AB540987.1.1486	1
312	AY044916.1.1480	1
313	AB031057.1.1487	1
314	JNJQ01000076.2318.3824	1
315	AB031058.1.1488	1
316	AB031056.1.1487	1
317	ADFR01000011.3460.4852	1
318	AF220064.1.1479	1
319	HQ452864.1.1380	1
320	HM038002.1.1488	1
321	GU585668.1.1471	1
322	LK391553.1.1390	1
323	KP174492.1.1490	1
324	AFNU02000027.3828.5341	1
325	KP174567.1.1487	1
326	EF999972.1.1345	1
327	LVKL01000020.159.1704	1
328	CDPP01000002.337765.339270	1
329	JQ607427.1.1421	1
330	L34683.1.1485	1
331	AB649277.1.1490	1
332	L34682.1.1486	1
333	JQ608047.1.1423	1
334	CCFG01000002.384.1925	1
335	LT576387.1.1491	1
336	ACXX02000011.96414.97923	1
337	JQ670700.1.1489	1
338	ATAY01000084.171.1631	1
339	FR733680.1.1512	1
340	JN713204.1.1516	1
341	KU950271.1.1446	1
342	AB627030.1.1484	1
343	X71852.1.1514	1
344	X71854.1.1511	1
345	X71856.1.1510	1
346	CP003259.4601376.4602779	1
347	CP003259.926330.927733	1
348	DQ479412.1.1498	1
349	CP002109.18567.20085	1
350	CP002109.704325.705843	1
351	CP002109.397549.399067	1
352	CP002109.795041.796559	1
353	LT223653.1.1494	1
354	LT161895.1.1495	1
355	CP002109.196661.198179	1
356	JMLZ01000002.2468958.2470468	1
357	JTGN01000001.4969.6479	1
358	JQ670725.1.1481	1
359	FNWG01000007.3380.4869	1
360	LT598578.1.1473	1
361	AB622826.1.1517	1
362	JW175724.1.1208	1
363	X81653.1.1489	1
364	FIZH01000015.305.1824	1
365	CP015400.1820588.1822127	1
366	CP015400.1209305.1210844	1
367	BBEP01000044.3365.4849	1
368	FP929052.65921.67414	1
369	LG105072.1.1486	1
370	LF136726.1.1486	1
371	HZ486349.1.1486	1
372	AB910742.1.1467	1
373	Y18181.1.1435	1
374	FMIZ01000005.450.1954	1
375	FMIZ01000006.769456.770960	1
376	FMIZ01000007.451.1955	1
377	FMIZ01000005.383348.384852	1
378	FMIZ01000004.105628.107132	1
379	LN881567.1.1520	1
380	AB622825.1.1524	1
381	AB622827.1.1519	1
382	DQ448792.1.1517	1
383	AP012027.78700.80240	1
384	AP012027.1126503.1128043	1
385	AP012027.1131935.1133475	1
386	AP012027.84132.85672	1
387	AP012027.446379.447919	1
388	AP012027.1137367.1138907	1
389	AP012027.1121071.1122611	1
390	ACLK02000003.365155.366681	1
391	ACLK02000002.1006.2532	1
392	ACLK02000002.739106.740632	1
393	ACLK02000003.3961.5487	1
394	AB055908.1.1479	1
395	AB055909.1.1475	1
396	AB055905.1.1479	1
397	AB034200.1.1497	1
398	BBDT01000057.3432.4945	1
399	CRRL01000064.5229.6766	1
400	M23728.1.1487	1
401	CP005079.626780.628324	1
402	AJ550617.1.1504	1
403	AB030218.1.1486	1
404	HM771669.1.1545	1
405	KT441067.1.1545	1
406	AB540983.1.1500	1
407	AB055906.1.1479	1
408	CP013213.866020.867570	1
409	CP013213.2141313.2142863	1
410	HQ222286.1.1544	1
411	JN688032.1.1445	1
412	JN713190.1.1519	1
413	AB730671.1.1509	1
414	DQ278862.1.1546	1
415	L04165.1.1477	1
416	AY442822.1.1509	1
417	JW177579.112.1491	1
418	HG934468.2032323.2033833	1
419	HG934468.1646469.1647979	1
420	LT700187.554140.555655	1
421	LT700187.3621.5136	1
422	LT161898.1.1499	1
423	LT700187.2558498.2560013	1
424	MAIR01000030.176.1691	1
425	LWGY01000003.71383.72923	1
426	LT223649.1.1499	1
427	MAIQ01000023.175.1690	1
428	FLKP01000002.3519.5034	1
429	FLKP01000001.335008.336523	1
430	FLKP01000001.3519.5034	1
431	AB490809.1.1497	1
432	LT223568.1.1498	1
433	LT223646.1.1499	1
434	AY574991.1.1453	1
435	JHXF01000033.2172.3664	1
436	KF698495.1.1400	1
437	KF698281.1.1416	1
438	GU999991.1.1473	1
439	GU324374.1.1469	1
440	ADGC01005479.156.1648	1
441	AF030449.1.1464	1
442	AF104835.1.1441	1
443	AY445601.1.1505	1
444	AF104834.1.1435	1
445	GU324405.1.1473	1
446	AM915269.1.1521	1
447	AY445593.1.1505	1
448	MVZO01000158.247.1753	1
449	AY445597.1.1505	1
450	AY445598.1.1505	1
451	FNZT01000001.79.1358	1
452	AF104846.1.1457	1
453	AB849343.1.1456	1
454	KF698539.1.1401	1
455	X83430.1.1448	1
456	AM915271.1.1519	1
457	L76603.1.1388	1
458	KF698345.1.1407	1
459	KP114244.1.1384	1
460	KF697916.1.1418	1
461	AY445599.1.1503	1
462	AF104841.1.1472	1
463	ATAX01000028.2891.4407	1
464	GU999990.1.1472	1
465	KF698496.1.1416	1
466	AB849342.1.1459	1
467	AM748742.1.1521	1
468	AF030446.1.1470	1
469	DQ393018.1.1428	1
470	KC438277.1.1482	1
471	AJ515915.1.1367	1
472	GU324392.1.1472	1
473	KF698228.1.1404	1
474	KC438278.1.1437	1
475	KP689131.1.1388	1
476	HQ108123.1.1514	1
477	AF418179.1.1511	1
478	DQ517283.1.1476	1
479	CP002297.2566340.2567876	1
480	CP002297.147854.149390	1
481	CP002297.299462.300998	1
482	CP002297.2699739.2701275	1
483	CP002297.3253751.3255287	1
484	AY548758.1.1543	1
485	CP000527.3358746.3360287	1
486	CP000527.3172152.3173693	1
487	CP000527.826077.827618	1
488	CP000527.959373.960914	1
489	CP000527.340179.341720	1
490	AB294142.1.1390	1
491	AE017285.2562830.2564335	1
492	AE017285.2696229.2697734	1
493	AE017285.294917.296422	1
494	AE017285.3250623.3252128	1
495	AE017285.105921.107426	1
496	X86689.1.1507	1
497	AZAO01000007.510925.512453	1
498	AGFG01000025.49.1584	1
499	HW313913.1.1460	1
500	CYZM01000020.534.2044	1
501	AB702939.1.1497	1
502	CWJP01000006.3412.4922	1
503	JN713382.1.1517	1
504	LN870298.1.1495	1
505	GBID01003495.1.1360	1
506	FJ269104.1.1492	1
507	KM462055.1.1519	1
508	KM462017.1.1519	1
509	AB239489.1.1485	1
510	JHXJ01000055.10.1514	1
511	GU324386.1.1486	1
512	KF698541.1.1421	1
513	FWXP01000018.1.1528	1
514	JIAE01000001.2738076.2739578	1
515	GU324373.1.1484	1
516	AB521809.1.1500	1
517	DQ057466.1.1455	1
518	KF020711.1.1439	1
519	ACBW01000012.3536.5054	1
520	AB260026.1.1492	1
521	AB260025.1.1492	1
522	AB064919.1.1492	1
523	AB253726.1.1456	1
524	AB253727.1.1470	1
525	AB253730.1.1456	1
526	AB253729.1.1456	1
527	AB253728.1.1461	1
528	JHWB01000009.457847.459358	1
529	JHWB01000009.203789.205300	1
530	JHWB01000009.10337.11848	1
531	AF202259.1.1525	1
532	AF298663.1.1453	1
533	JHWB01000022.2793.4305	1
534	LG104458.1.1493	1
